Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Leto roc.  stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci
R1;227;1423;KOTLJE - SLOVENJ GRADEC;0;11.154;322;Podgora;QLD5; ;5.193;36;4.800;15;251;45;42;2;2
R1;228;1291;SPUHLJA - BORL;0;8.500;341;Stojnci;QLD6; ;4.653;28;4.003;37;221;44;59;104;157
R1;228;1291;BORL - MP ZAVRC;8.500;13.900;340;MP Zavrc;QLD6; ;1.765;7;1.374;16;71;19;37;58;183
R1;229;0248;PTUJ;0;1.088;;;P;;19.000;45;16.755;250;1.200;450;100;90;110
R1;229;1417;PTUJ - ROGOZNICA;0;2.080;;;P;;12.200;40;11.395;90;390;35;140;30;80
R1;229;1286;ROGOZNICA - SENARSKA;0;16.918;338;Gocova;QLD5; ;3.579;42;3.020;18;198;69;96;41;95
R1;230;0327;MP G.RADGONA - G.RADGONA;0;989;665;MP Gornja Radgona;QLD6; ;5.334;33;4.953;8;181;21;39;28;71
R1;230;0366;G.RADGONA - RADENCI;0;5.680;86;Sratovci;QLD6; ;6.670;52;5.769;73;370;100;128;66;112
R1;230;1164;RADENCI ;0;453;;;P;;5.650;30;5.015;50;260;70;85;55;85
R1;230;1308;RADENCI - VUCJA VAS;0;7.803;352;Radenci;QLD6; ;3.637;38;3.149;19;194;48;61;48;80
R1;230;1399;VUCJA VAS - KRIZEVCI;0;4.527;576;Stara Nova vas;ROCNO;07x1;3.780;20;3.075;20;250;80;120;75;140
R1;230;1415;KRIZEVCI ;0;700;;;P;;6.000;30;5.235;40;330;90;100;65;110
R1;230;1309;KRIZEVCI - LJUTOMER;0;7.300;353;Norsinci;QLTC8; ;6.495;60;5.601;34;397;114;123;44;122
R1;230;1310;LJUTOMER - PAVLOVCI;0;13.910;354;Ivanjkovci;QLD6; ;2.712;32;2.172;22;182;73;72;46;113
R1;230;1311;PAVLOVCI - ORMOZ;0;1.860;575;Pavlovci;ROCNO;07x1;4.200;25;3.505;40;250;145;100;45;90
R1;230;1312;ORMOZ;0;1.500;;;P;;6.100;30;5.615;50;260;100;30;5;10
R1;230;0251;ORMOZ - MP ORMOZ;0;760;156;MP Ormoz;QLD3; ;883;2;802;5;72;1;1;0;0
R1;231;1325;GIBINA - RAZKRIZJE;0;2.930;431;MP Gibina;QLD5; ;483;5;434;1;23;10;9;0;1
R1;231;1323;RAZKRIZJE - STROCJA VAS;0;3.830;;;P;;2.500;10;2.324;10;90;25;30;3;8
R1;231;1327;STROCJA VAS - LJUTOMER;0;2.500;636;Strocja vas;QLTC8; ;3.611;34;3.289;12;174;38;37;6;21
R1;232;1314;MP HODOS - HODOS;0;1.500;430;MP Hodos;QLD5; ;207;6;166;5;9;6;9;2;4
R1;232;1314;HODOS - SALOVCI;1.500;5.000;487;Peskovci;QLD3; ;1.129;3;1.038;7;42;11;22;2;4
R1;232;1314;SALOVCI - G. PETROVCI;5.000;10.458;;;P;;1.500;4;1.351;12;50;40;30;5;8
R1;232;1315;PETROVCI - MACKOVCI;0;6.500;;;P;;2.950;8;2.658;35;100;80;50;9;10
R1;232;1315;MACKOVCI - MARTJANCI;6.500;17.700;137;Vaneca;QLD6; ;3.781;26;3.433;21;182;37;62;7;13
R1;232;1316;MARTJANCI - M.SOBOTA;0;2.350;499;Murska Sobota sever;QLD6; ;11.859;57;10.940;61;465;121;136;23;56
R1;232;1470;MURSKA SOBOTA;0;1.000;;;P;;15.000;50;13.780;120;490;280;200;25;55
R1;232;1406;M.SOBOTA - LIPOVCI;0;4.067;148;MS-Baksa;QLD5; ;12.053;65;11.054;115;470;119;134;28;68
R1;234;1476;DRAMLJE - DOLE;0;2.750;316;Dole;QLD; ;6.572;4;5.593;10;510;86;151;56;162
R1;234;1280;DOLE - SENTJUR;0;3.445;690;Lokarje;QLD6; ;10.232;38;9.023;25;635;125;162;81;143
R1;235;0317;RADENCI - PETANJCI;0;2.047;446;Petanjci;QLD3; ;4.798;4;4.267;54;232;116;90;15;20
R1;235;0318;PETANJCI - M.SOBOTA(GAJ);0;7.473;623;Tropovci;QLD5; ;5.453;46;4.797;60;308;88;113;15;26
R1;235;1396;M.SOBOTAGAJ - PRIK.M.S.;0;2.858;479;MS Krog;QLD5; ;3.870;15;3.386;10;195;96;94;24;50
R2;401;1020;ZAGA - UCJA;0;7.445;551;MP Ucja;ROCNO;08x1;160;25;120;0;15;0;0;0;0
R2;402;1010;SOLKAN - MOST CEZ SOCO;0;141;;;P;;8.000;90;7.185;50;390;120;65;40;60
R2;402;1426;SOLKAN - GONJACE;0;10.396;219;Podsabotin;QLD5; ;3.253;35;2.944;12;165;44;42;3;8
R2;402;1465;GONJACE - DOBROVO;0;4.655;755;Smartno;ROCNO;09x1;2.619;47;2.327;37;118;67;22;0;1
R2;402;1045;DOBROVO - NEBLO;0;2.700;;;P;;3.200;45;2.918;25;150;45;15;1;1
R2;402;1045;NEBLO - MP NEBLO;2.700;4.820;550;MP Neblo;QLD5; ;2.442;48;2.214;2;143;19;14;1;1
R2;403;1071;BACA - KNEZA;0;6.153;108;Baca;QLD3; ;1.219;31;1.074;2;55;28;24;2;3
R2;403;1072;KNEZA - PODBRDO;0;15.734;;;P;;900;25;798;15;20;25;15;1;1
R2;403;1073;PODBRDO - PETROVO BRDO;0;4.400;538;Petrovo brdo 1;ROCNO;07x1;450;40;375;3;19;9;4;0;0
R2;403;1074;PETROVO BRDO - PODROST;0;8.100;539;Petrovo brdo 2;ROCNO;07x1;300;35;232;3;20;6;4;0;0
R2;403;1075;PODROST - ZALI LOG;0;5.000;542;Zali Log;ROCNO;07x1;750;45;625;14;50;8;2;4;2
R2;403;1075;ZALI LOG - CESNJICA;5.000;10.061;189;Zelezniki;QLD5; ;1.969;40;1.716;16;106;35;47;5;4
