Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Leto roc.  stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci
R2;426;1269;PESJE - GORENJE;0;6.100;168;Lokovica;QLD6; ;6.223;41;5.537;27;336;78;88;45;71
R2;426;7949;GORENJE  -  RECICA;0;4.220;35;Smartno ob Paki;ROCNO;07x4;4.000;40;3.495;25;220;70;65;35;50
R2;426;7949; RECICA - LETUS;4.220;5.795;176;Recica ob Paki;QLD5; ;3.428;55;2.939;23;210;54;77;28;42
R2;427;1351;LATKOVA VAS - PREBOLD;0;3.000;741;Latkova vas;ROCNO;09x4;6.201;64;5.636;41;300;92;40;15;13
R2;427;1351;PREBOLD - SPODNJE GABRSKO;3.000;17.800;439;Podmeja;QLD5; ;1.191;33;1.075;1;46;18;17;0;1
R2;427;1351;SPODNJE GABRSKO - TRBOVLJE;17.800;19.617;;;P;;6.050;25;5.735;55;125;40;45;10;15
R2;428;1249;RADMIRJE - LUCE;0;12.165;202;Ljubno;QLD3; ;2.089;26;1.853;14;100;42;38;7;9
R2;428;1250;LUCE - SESTRE LOGAR;0;13.800;201;Robanov Kot;QLD3; ;727;36;681;5;5;0;0;0;0
R2;428;1252;S.LOGAR - PAVLICEVO SEDLO;0;7.453;;;P;;30;2;26;1;1;0;0;0;0
R2;429;1245;VISNJA VAS - STRMEC;0;1.600;321;Tabor;ROCNO;09x4;6.242;84;5.678;41;273;112;32;10;12
R2;429;1245;STRMEC - DOBRNA;1.600;7.520;348;Lemberg;QLD3; ;3.405;41;3.041;31;188;49;37;8;10
R2;429;1154;ODCEP V DOBRNO;0;1.695;;;P;;2.600;10;2.361;20;130;52;17;3;7
R2;429;1422;DOBRNA - CRNOVA;0;3.400;320;Crnova 2;ROCNO;08x4;3.470;35;3.087;25;190;75;39;8;11
R2;430;0273;MB(PTUJSKA) - MB(TRZASKA);0;1.490;;;P;;21.000;50;18.875;100;1.100;210;150;125;390
R2;430;0273;MB(TRZASKA) - HOCE;1.490;4.860;;;P;;36.000;80;32.915;110;1.800;290;240;145;420
R2;430;0381;HOCE  - SLIVNICA;0;965;17;Hoce;QLTC8; ;32.000;97;28.543;130;2.000;400;250;150;430
R2;430;0274;SLIVNICA - FRAM;0;4.810;;;P;;7.000;75;6.260;100;300;170;70;10;15
R2;430;0274;FRAM - SL.BISTRICA;4.810;13.060;38;Bukovec;QLD5; ;6.357;106;5.697;62;335;74;66;6;11
R2;430;1452;ODCEP PRIKLJ. SL. BISTRICA S - ODCEP PRIKLJ. SL. B;0;1.430;;;P;;3.250;10;3.020;55;100;35;20;4;6
R2;430;0275;SL.BISTRICA ;0;2.626;;;P;;13.700;60;12.586;130;530;300;64;10;20
R2;430;0276; SL.BISTRICA - LOZNICA;0;1.593;569;Slovenska Bistica;ROCNO;07x1;6.500;1;5.394;30;700;245;90;15;25
R2;430;0277;LOZNICA - TEPANJE;0;7.820;608;Vrhole;QLD6; ;2.546;75;2.094;33;123;98;87;12;24
R2;430;0278;TEPANJE - SL.KONJICE;0;3.154;48;Dobrnez;QLD6; ;10.485;88;9.145;63;720;180;129;53;107
R2;430;0279;SL.KONJICE ;0;815;;;P;;11.300;90;9.760;150;800;250;130;30;90
R2;430;0280;SL.KONJICE - DOBRAVA;0;3.000;49;Zece 2;QLTC8; ;11.166;104;9.883;101;640;195;127;35;81
R2;430;0280;DOBRAVA - STRANICE;3.000;5.160;56;Zece;QLD6; ;8.133;88;7.101;74;452;163;142;37;76
R2;430;0281;STRANICE - VISNJA VAS;0;10.200;67;Frankolovo;QLD5; ;6.692;90;5.820;66;325;155;154;27;55
R2;430;0282;VISNJA VAS - CELJE(AC);0;6.100;68;Vojnik;QLD6; ;14.804;103;13.390;110;747;178;176;33;67
R2;430;0282;CELJE AC - CELJE;6.100;8.042;695;CE Hudinja;QLD6; ;29.498;123;26.062;166;1.696;296;443;210;502
R2;431;1350;ZG.DOLIC - STRANICE;0;18.621;377;Vitanje;QLD3; ;2.536;20;2.219;23;157;48;39;12;18
R2;432;1440;MEJA HRVASKA - ROGATEC;0;180;414;MP Rogatec;QLD3; ;1.503;2;1.375;10;69;10;18;11;8
R2;432;1284;ROGATEC - MAJSPERK;0;15.845;336;Stoperce;QLD; ;1.039;15;888;10;51;27;35;4;9
R2;432;1411;MAJSPERK;0;480;;;P;;3.100;25;2.520;55;240;160;70;15;15
R2;432;1285;MAJSPERK - LOVRENC;0;7.542;441;Lovrenc;QLD5; ;5.058;103;4.416;36;252;82;108;18;43
R2;432;6276;APASKI KRIZ  -  KIDRICEVO;0;2.874;586;Kidricevo;QLD6; ;5.203;20;4.671;34;266;71;93;14;34
R2;433;1287;SENARSKA - LENART;0;4.014;442;Lenart vzhod;QLD5; ;4.240;47;3.812;31;181;67;60;12;30
R2;433;1288;LENART - KRIZ. SV.ANA;0;4.700;339;Zerjavci;QLD5; ;3.722;31;3.382;23;126;74;67;9;10
R2;433;1288;KRIZ. SV.ANA - ZG.SCAVNICA;4.700;11.200;28;Zgornja Scavnica 1;ROCNO;07x4;1.600;12;1.495;10;45;15;12;6;5
R2;433;1288;ZG.SCAVNICA - TRATE;11.200;15.950;29;Zgornja Scavnica 2;ROCNO;07x4;1.750;15;1.622;14;60;19;11;5;4
R2;433;1289;TRATE - MOST CEZ MURO;0;2.040;27;Trate;ROCNO;07x4;1.600;17;1.464;22;70;10;4;7;6
R2;433;1289;MOST CEZ MURO - MP TRATE;2.040;2.120;144;MP Trate;QLD3; ;2.266;14;2.198;0;54;0;0;0;0
R2;434;1352;RADLJE - MP RADLJE;0;5.860;668;MP Radelj;QLD5; ;893;40;715;4;58;14;21;16;25
R2;435;1431;MARIBOR - RUSE;0;9.119;706;Laznica;QLTC8; ;9.980;67;9.071;47;562;96;78;19;40
R2;435;1439;RUSE - SELNICA;0;3.297;710;Selnica;QLD5; ;4.242;51;3.786;14;235;75;61;6;14
R2;436;0440;DOLJNA POCEHOVA;0;931;;;P;;5.200;30;4.415;25;250;165;235;35;45
R2;436;1328;POCEHOVA - ZG.KUNGOTA;0;6.870;429;Zgornja Kungota;QLD6; ;4.206;34;3.847;27;218;32;35;5;8
R2;436;1329;ZG.KUNGOTA - JURIJ;0;5.565;553;MP Jurij;QLD5; ;426;16;373;1;21;5;6;2;2
R2;437;0267;MP SENTILJ - SENTILJ;0;1.620;664;MP Sentilj SC;QLD6; ;4.433;43;3.642;9;167;35;42;125;370
R2;437;0268;SENTILJ - PESNICA;0;7.730;628;Ranca;QLTC8; ;3.784;55;3.380;34;192;62;43;8;10
R2;437;0268;PESNICA - RONDO POCEHOVA;7.730;10.432;;;P;;7.400;50;6.450;80;450;145;90;65;70
R2;438;1306;SENTILJ - TRATE;0;13.409;350;Selnica ob Muri;QLD3; ;2.005;35;1.664;39;93;23;30;43;78
R2;438;1307;TRATE - GORNJA RADGONA;0;15.579;361;Apace;QLD3; ;2.780;40;2.524;28;112;24;26;10;16
R2;439;1299;KOBILJE - DOBROVNIK;0;7.730;493;Kobilje;ROCNO;07x1;850;10;760;10;45;18;5;1;1
R2;439;1300;DOBROVNIK - RENKOVCI;0;4.230;45;Dobrovnik;ROCNO;07x4;1.350;18;1.053;14;75;30;55;45;60
R2;439;1301;RENKOVCI - BELTINCI;0;6.502;346;Renkovci;QLD5; ;1.604;16;1.444;10;76;20;25;4;9
R2;439;1302;BRATONCI - DOKLEZOVJE;0;3.800;53;Bratonci;ROCNO;07x4;2.500;30;2.213;12;120;65;30;10;20
R2;439;1302;DOKLEZOVJE - KRIZEVCI;3.800;9.600;347;Doklezovje;QLD6; ;4.433;38;3.968;24;258;59;51;16;19
R2;439;1303;KRIZEVCI - ZIHLAVA;0;11.630;357;Berkovci;ROCNO;09x4;914;24;738;6;58;43;23;12;10
R2;439;1304;ZIHLAVA - VIDEM;0;2.950;587;Jamna;ROCNO;09x4;2.004;40;1.754;14;103;53;17;12;11
R2;439;1305;SV. JURIJ OB SCAVNICI-CERKVENJAK;0;6.986;349;Kraljevci;QLD5; ;656;13;555;11;36;17;15;4;5
R2;439;1525;CERKVENJAK - PRIKLJ.CERKVENJAK;0;1.880;;;P;;1.600;10;1.420;10;110;15;25;5;5
R2;439;1525;PRIKLJ. CERKVENJAK - SENARSKA;1.880;6.735;;;P;;1.000;10;878;5;75;10;15;3;4
R2;440;1294;PETANJCI - GEDEROVCI;0;3.301;443;Sodisinci;QLD; ;1.425;37;1.248;4;46;37;33;10;10
R2;440;1295;GEREDOVCI - SKAKOVCI;0;3.370;444;Krajna;ROCNO;06x4;2.800;20;2.490;30;115;40;60;15;30
R2;440;1295;SKAKOVCI - CANKOVA;3.370;6.080;;;P;;2.700;5;2.410;30;110;45;50;15;35
R2;440;1296;CANKOVA - VECESLAVCI;0;8.500;344;Cankova;QLD3; ;3.415;10;3.222;21;74;39;33;6;10
R2;440;1296;VECESLAVCI - SOTINA;8.500;15.200;681;Sotina;PRAZNO;01 QLD3;1.450;26;1.276;20;63;39;19;3;4
R2;440;1296;SOTINA - MP KUZMA;15.200;16.025;666;MP Kuzma;QLD5; ;824;9;743;3;39;7;12;4;7
R2;441;1298;MURSKA SOBOTA;0;1.000;;;P;;11.400;40;10.920;70;270;50;30;10;10
R2;441;1298;MURSKA SOBOTA - VESCICA;1.000;4.000;345;Cernelavci;QLD6; ;9.550;40;9.027;53;336;36;33;12;13
R2;441;1298;VESCICA - GEDEROVCI;4.000;10.200;334;Gederovci;QLD5; ;5.028;37;4.395;31;441;44;50;13;17
R2;441;1298;GEDEROVCI - MP GEDEROVCI;10.200;10.931;142;MP Gederovci;QLD6; ;3.445;24;3.218;7;129;11;18;13;25
R2;442;1318;MARTJANCI - MORAVSKE TOPLICE;0;3.970;44;Martjanci;QLD5; ;5.666;50;5.243;37;195;67;61;6;7
R2;442;1318;MORAVSKE TOPLICE - DOBROVNIK;3.970;13.831;494;Filovci;QLD3; ;1.704;10;1.560;9;69;34;13;4;5
R2;442;1319;DOBROVNIK-RONDO DOLGA VAS;0;10.402;358;Mostje;QLD5; ;2.482;33;2.208;15;120;31;45;14;16
R2;443;1397;LIPOVCI - BRATONCI;0;1.256;146;Lipovci;QLD6; ;11.520;41;10.529;71;514;103;134;30;98
R2;443;0320;BRATONCI - BELTINCI;0;2.261;;;P;;7.300;30;6.655;50;350;80;90;15;30
R2;443;0321;BELTINCI - CRENSOVCI;0;5.820;87;Odranci;QLD6; ;3.640;25;3.306;31;174;32;39;9;24
R2;443;0369;CRENSOVCI ;0;409;;;P;;3.700;30;3.315;35;190;55;40;10;25
R2;443;0322;CRENSOVCI - DOL.LAKOS;0;14.052;88;Hotiza;QLD; ;2.906;40;2.559;32;165;35;45;7;23
R2;443;1488;DOL. LAKOS - LENDAVA;0;1.365;;;P;;6.010;12;5.228;40;480;110;40;40;60
R2;443;1320;LENDAVA - DOLINA;0;6.240;;;P;;1.500;10;1.302;25;110;20;15;8;10
R2;443;1320;DOLINA - MP PINCE;6.240;6.495;675;MP Pince;QLD5; ;374;9;323;2;15;6;8;1;10
R2;444;0344;RAZDRTO - MANCE;0;13.450;644;Podgric;QLD6; ;800;25;515;20;60;40;80;25;35
R2;444;0345;MANCE - VIPAVA;0;1.429;735;Loze;ROCNO;09x4;4.818;102;3.961;47;281;129;74;56;168
R2;444;1473;VIPAVA ;0;1.400;;;P;;5.500;85;4.930;45;250;100;35;25;30
R2;444;1473;VIPAVA - AJDOVSCINA;1.400;7.040;624;Log pri Vipavi;QLD5; ;5.999;96;5.439;40;249;93;61;8;13
R2;444;0387;AJDOVSCINA (OBVOZNICA);0;1.960;;;P;;3.900;90;3.510;25;80;125;55;7;8
R2;444;0346;AJDOVSCINA - SELO;0;8.550;688;Ajdovscina 2;QLD6; ;6.788;95;6.252;49;286;53;35;7;11
R2;444;0347;SELO - TRI HISE;0;8.600;81;Ozeljan;QLD; ;5.099;90;4.683;33;218;39;26;3;7
R2;444;0347;TRI HISE - AJSEVICA;8.600;10.600;699;Tri hise;ROCNO;09x4;10.485;99;9.236;47;533;253;139;59;119
R2;444;0347;AJSEVICA  -  NOVA GORICA;10.600;15.350;558;Rozna dolina;QLD6; ;3.711;54;3.264;25;211;61;44;17;35
R2;444;0365;NOVA GORICA;0;690;;;P;;8.800;55;8.340;75;200;55;15;20;40
R2;444;0348;NOVA GORICA - MP ROZNA DOLINA;0;130;654;MP Rozna Dolina;QLD3; ;8.331;61;8.180;6;84;0;0;0;0
R2;445;0349;SENOZECE - STORJE;0;8.700;25;Senadolice;ROCNO;07x4;2.200;20;1.800;25;145;90;35;30;55
R2;445;0349;STORJE - SEZANA;8.700;14.185;613;Storje;QLD; ;2.787;13;2.430;19;157;35;58;24;51
R2;445;0350;SEZANA - FERNETICI;0;1.800;;;P;;6.800;8;6.632;20;65;40;20;5;10
R2;445;0350;FERNETICI - MP FERNETICI;1.800;2.928;;;P;;7.600;10;7.297;18;80;45;50;25;75
R2;446;1016;SEZANA - DIVACA;0;9.770;206;Sezana;QLD; ;3.678;66;3.260;14;171;63;64;9;31
R2;447;0286;MEDLOG - PETROVCE;0;3.306;69;Dresinja vas;QLD6; ;15.716;128;14.475;120;688;126;112;27;40
R2;447;0287;PETROVCE - ZALEC;0;1.519;;;P;;14.400;70;13.550;95;400;180;45;25;35
R2;447;0367;ZALEC - VRBENSKO POLJE;0;2.220;;;P;;7.900;60;7.344;65;300;80;50;0;1
R2;447;0367;VRBENSKO POLJE - SEMPETER;2.220;5.839;609;Sempeter;QLD6; ;14.066;141;12.840;93;695;126;109;27;35
R2;447;0288;SEMPETER - LATKOVA VAS;0;591;;;P;;8.600;120;7.475;100;600;150;105;20;30
R2;447;0289;LATKOVA VAS - SENTRUPERT;0;1.420;;;P;;7.500;120;6.230;80;680;190;115;35;50
R2;447;0290;SENTRUPERT - VRANSKO;0;9.000;64;Tabor;QLD6; ;4.624;106;3.711;46;293;172;193;38;65
R2;447;0290;VRANSKO - LOCICA;9.000;11.905;;;P;;4.250;90;3.455;25;370;130;115;20;45
R2;447;0291;LOCICA - TROJANE;0;6.066;71;Trojane 2;QLD6; ;2.005;84;1.550;22;140;71;89;16;33
R2;447;0292;TROJANE - LUKOVICA;0;15.000;72;Trojane;QLD6; ;2.190;77;1.575;42;144;101;146;35;70
R2;447;0292;LUKOVICA  -  ZELODNIK;15.000;21.857;332;Sentvid;QLD6; ;5.281;80;4.380;58;301;187;154;39;82
R2;447;0293;ZELODNIK - DOMZALE;0;4.285;610;Zelodnik;QLD6; ;9.185;94;7.807;91;512;219;282;65;115
R2;447;0294;DOMZALE - STOB;0;1.560;;;P;;13.500;75;12.200;110;550;210;230;50;75
R2;447;0294;STOB - TRZIN;1.560;2.603;54;Depala vas;QLD6; ;18.173;99;16.309;124;1.188;155;166;51;81
R2;448;1510;KARTELJEVO - PRIKLJ. NM ZAHOD;0;2.500;;;P;;400;2;323;10;50;5;5;2;3
R2;448;0222;KARTELJEVO - LOCNA;0;2.325;;;P;;600;2;520;10;50;8;5;1;4
R2;448;1512;NOVO MESTO LOCNA - MACKOVEC;0;935;566;Locna;ROCNO;07x1;6.000;35;5.473;30;230;100;42;30;60
R2;448;0223;MACKOVEC - OTOCEC;0;3.878;400;Otocec;QLD5; ;4.591;38;4.385;21;23;55;44;11;14
R2;448;0224;OTOCEC - KRONOVO;0;2.115;;;P;;4.100;40;3.749;30;200;20;40;11;10
R2;448;1513;KRONOVO - DOLENJE KRONOVO;0;715;;;P;;5.000;45;4.505;35;260;50;40;30;35
R2;448;1514;DOLENJE KRONOVO - GOR. GOMILA;0;2.750;;;P;;2.000;40;1.655;10;210;45;20;5;15
R2;448;1514;GOR. GOMILA - DOBRAVA;2.750;5.374;;;P;;500;35;340;10;60;45;5;2;3
R2;449;0314;PESNICA - LENART;0;12.900;84;Mocna;QLD6; ;4.179;49;3.813;64;181;29;26;5;12
R2;449;1543;PRIKLJ. LENART - LENART;0;1.442;;;P;;8.900;50;7.850;100;460;150;140;70;80
R2;449;0315;LENART - GORNJA RADGONA;0;17.556;85;Ihova;QLD6; ;3.949;43;3.183;57;293;73;130;73;97
R2;449;0316;GORNJA RADGONA;0;1.941;;;P;;9.000;40;8.040;135;310;190;120;70;95
R2;450;1404;HOCE  - PRIKLJ. ROGOZA;0;1.570;;;P;;7.500;15;6.195;70;500;350;100;100;170
R2;450;1404;PRIKLJ. ROGOZA- LETALISCE MARIBOR;1.570;4.460;;;P;;1.500;25;1.251;10;180;30;2;1;1
R2;451;1448;ARJA VAS - ZALEC;0;2.090;70;Zalec;QLD5; ;7.217;45;6.300;36;341;197;171;55;72
R2;452;0368;HRUSICA - PLAVZ;0;2.450;530;Jesenice zahod;QLD5; ;7.411;79;6.572;195;287;112;88;24;54
R2;452;0368;PLAVZ - JESENICE;2.450;4.250;;;P;;12.000;45;11.150;200;300;120;85;30;70
R2;452;0368;JESENICE - JAVORNIK;4.250;6.400;531;SL Javornik;QLD6; ;16.080;95;14.840;178;648;125;98;29;67
R2;452;0206;JAVORNIK - ZIROVNICA;0;5.013;603;Moste pri Zirovnici;QLD5; ;6.367;80;5.806;81;254;58;46;13;29
R2;452;0207;ZIROVNICA - LESCE;0;4.957;557;Vrba ;QLD5; ;6.508;71;5.957;61;260;62;48;15;34
R2;452;0208;LESCE - RADOVLJICA;0;2.820;632;Radovljica;QLD6; ;4.743;87;4.327;11;234;42;30;4;8
R2;452;0208;RADOVLJICA - CRNIVEC;2.820;7.423;697;Radovljica 2;QLD6; ;2.751;69;2.393;89;161;19;14;2;4
R2;454;1400;MB AC - MIKLAVZ;0;3.000;20;Miklavz sever;QLTC8; ;13.500;80;12.235;120;700;150;130;25;60
R2;454;1400;MIKLAVZ - HAJDINA;3.000;17.680;606;Starse;QLTC8; ;7.000;50;6.275;70;350;90;100;15;50
R2;454;1495;HAJDINA (Mariborska c.- Gomile);0;2.180;639;Zgornja Hajdina;QLD; ;12.552;74;10.815;78;667;254;330;142;192
R3;601;7507;BORJANA - PODBELA;0;2.800;;;P;;180;2;171;2;3;1;1;0;0
R3;601;7507;PODBELA - ROBIDISCE;2.800;9.832;;;P;;50;2;45;0;3;0;0;0;0
R3;602;1032;STARO SELO - BREGINJ-MOST;0;16.725;93;Staro selo - Breginj;ROCNO;08x1;900;5;821;8;40;15;10;0;1
R3;603;1041;MOST NA SOCI - USNIK;0;4.271;532;Kozarsce;QLD5; ;848;3;741;3;41;26;25;2;7
R3;604;5701;ROCINJ - LIG;0;9.995;528;Rocinj;ROCNO;07x1;240;10;195;0;25;8;2;0;0
R3;605;5702;KAMBRESKO - KUSCAR-LIVEK;0;19.538;529;Kambresko;ROCNO;07x1;130;6;109;0;13;2;0;0;0
R3;606;5703;KANAL - LIG-MISCEK-NEBLO;0;35.376;455;Kanal;ROCNO;07x1;240;3;222;1;11;2;1;0;0
R3;607;5723;PREVAL - GRGAR-CEPOVAN;0;14.133;98;Grgar;ROCNO;08x1;780;10;705;4;43;16;2;0;0
R3;608;1067;SOLKAN - GRGAR;0;3.000;599;Solkan 2;QLD5; ;3.862;57;3.457;8;193;69;67;3;8
R3;608;1067;GRGAR - LOKVE;3.000;19.400;225;Solkan - Lokve;ROCNO;03x4;1.100;10;1.038;3;25;15;5;2;2
R3;608;1065;LOKVE - CEPOVAN;0;5.440;224;Lokve;ROCNO;08x4;170;15;135;0;13;3;1;1;2
R3;608;1068;CEPOVAN - DOL.TREBUSA;0;10.870;449;Dolenja Trebusa 2;ROCNO;08x4;310;10;271;0;22;5;1;1;0
R3;609;2117;AJDOVSCINA - PREDMEJA;0;11.622;456;Lokavec;ROCNO;06x1;660;10;604;2;30;10;4;0;0
R3;609;1064;PREDMEJA - LOKVE;0;11.575;;;P;;120;20;86;1;4;9;0;0;0
R3;609;1066;CEPOVAN - MOST NA SOCI;0;13.220;534;Lazi;ROCNO;07x1;190;5;167;0;14;4;0;0;0
R3;610;1370;D.TREBUSA - SP.IDRIJA;0;21.990;390;Dolenja Trebusa;ROCNO;08x4;140;3;126;0;9;1;1;0;0
R3;610;1371;PECNIK(MAROF) - ZIRI;0;10.546;;;P;;1.000;8;938;9;24;8;8;3;2
R3;611;1024;DORNBERK - SELO;0;5.150;208;Batuje;QLD6; ;1.755;5;1.571;9;116;25;19;3;7
R3;612;1042;PLAVE - GONJACE;0;6.190;213;Plave;ROCNO;09x1;841;24;690;8;49;10;60;0;0
R3;613;1437;AJSEVICA - KROMBERK;0;3.100;209;Kromberk;QLD6; ;14.598;75;13.294;42;743;148;143;41;112
R3;613;1437;KROMBERK - NOVA GORICA;3.100;3.960;;;P;;19.000;55;17.155;65;830;450;180;140;125
R3;614;1046;SEMPETER - MIREN;0;5.536;470;Miren;QLD5; ;4.009;56;3.623;15;176;70;43;12;14
R3;614;1047;MIREN - OPATJE SELO;0;7.771;559;Miren-3;ROCNO;07x1;1.440;30;1.273;15;80;20;10;5;7
R3;614;1048;OPATJE SELO - KOMEN;0;14.885;215;Kostanjevica;ROCNO;09x4;448;26;353;6;37;17;6;1;2
R3;614;1049;KOMEN - KOBJEGLAVA;0;4.540;216;Tomacevica;QLD; ;826;25;711;2;51;13;15;4;5
R3;614;1049;KOBJEGLAVA - STANJEL;4.540;8.815;23;Kobjeglava;ROCNO;07x4;1.140;30;973;7;65;35;25;2;3
R3;614;1050;STANJEL - MANCE;0;11.750;217;Mance;QLD; ;1.074;25;962;8;43;16;18;1;1
R3;615;5736;TRI HISE - PRIKLJ. VOGRSKO;0;2.850;252;Vogrsko;QLD6; ;6.455;35;5.481;18;468;98;164;49;142
R3;615;5736;PRIKLJ. VOGRSKO - VOLCJA DRAGA;2.850;6.257;473;Vogrsko 2;QLD; ;3.194;41;2.768;6;197;54;75;22;31
R3;615;5740;VOLCJA DRAGA - RENCE;0;3.200;472;Bukovica;QLD5; ;2.566;42;2.276;8;111;66;40;11;12
R3;615;5740;RENCE - KRIZ. CIJAN;3.200;4.975;560;Bilje;ROCNO;07x1;2.500;25;2.153;0;200;70;20;15;17
R3;616;1056;GORJANSKO - KLARICI;0;10.090;422;Brestovica;ROCNO;09x4;271;12;230;0;18;10;1;0;0
R3;617;1054;KOMEN - GORJANSKO;0;3.163;218;Komen;ROCNO;05x4;1.350;20;1.227;6;65;25;5;1;1
R3;617;1055;GORJANSKO - ZEKENC;0;2.969;;;P;;450;15;420;1;13;1;0;0;0
R3;618;6807;BRANIK - KOMEN;0;7.725;457;Branik 1;ROCNO;09x4;816;21;726;2;40;21;4;1;1
R3;618;6805;KOMEN  - KRAJNA VAS;0;8.130;458;Volcji Grad;ROCNO;09x4;850;21;741;1;58;22;5;1;1
R3;618;6804;KRAJNA VAS - DUTOVLJE;0;2.320;;;P;;750;15;665;5;40;20;5;0;0
R3;619;1025;DUTOVLJE - REPENTABOR;0;5.422;419;Dol pri Vogljah;QLD6; ;1.613;9;1.495;5;71;19;11;1;2
R3;620;6831;STORJE - STANJEL;0;11.249;453;Ponikve;ROCNO;09x4;705;17;598;4;47;22;9;4;4
R3;621;1412;KALCE - PODKRAJ;0;15.000;497;Hrusica;QLD5; ;691;19;593;3;35;18;20;2;1
R3;621;1412;PODKRAJ - COL;15.000;19.927;;;P;;750;15;567;5;100;45;10;3;5
R3;622;6848;GORICE-KAL;0;16.252;80;Vremski Britof 2;ROCNO;04x1;550;10;474;1;40;15;5;2;3
R3;623;3718;KASTELEC - PODGORJE;0;10.928;505;Podgorje;ROCNO;08x1;420;5;388;4;14;5;3;0;1
R3;624;3721;LOKA - PODPEC-RAKITOVEC;0;15.513;501;Rakitovec;ROCNO;04x1;40;2;36;1;0;1;0;0;0
R3;625;1061;BERTOKI - DVORI;0;7.500;221;Vrtine;QLD; ;5.107;36;4.723;14;233;65;34;1;1
R3;625;1061;DVORI - GRACISCE;7.500;14.206;;;P;;700;40;607;1;25;20;7;0;0
R3;626;3726;GRACISCE - BREZOVICA;0;8.517;732;Brezovica;ROCNO;08x1;90;1;86;0;2;1;0;0;0
R3;627;3716;CRNI KAL  -  OSP;0;4.220;;;P;;700;25;645;5;20;3;0;2;0
R3;628;1427;SECOVLJE - DRAGONJA;0;3.050;702;Dragonja;QLD5; ;2.753;41;2.436;17;137;80;39;1;2
R3;629;1381;VALETA ;0;793;;;P;;11.000;40;10.351;25;300;175;60;20;29
R3;629;1479;VALETA - BELI KRIZ-PIRAN;0;2.863;192;Beli kriz;QLD5; ;5.973;111;5.330;29;299;128;63;3;10
R3;630;1069;PREM - CELJE;0;5.930;226;Prem;ROCNO;07x1;280;5;258;3;10;3;1;0;0
R3;630;1069;CELJE - PREGARJE;5.930;11.840;592;Pregarje-3;ROCNO;08x1;150;2;127;0;21;0;0;0;0
R3;630;1069;PREGARJE - OBROV;11.840;18.596;590;Pregarje-1;ROCNO;08x1;370;13;335;0;19;0;3;0;0
R3;630;1070;OBROV - GOLAC;0;8.650;527;Golac;ROCNO;07x1;170;2;137;1;13;1;6;4;6
R3;631;3223;STAROD - MEJA RH;0;3.130;;;P;;15;0;15;0;0;0;0;0;0
R3;632;1378;IL.BISTRICA - ZABICE;0;9.570;396;Vrbovo;ROCNO;04x1;1.490;10;1.394;8;60;10;3;2;3
R3;632;1378;ZABICE - NOVOKRACINE;9.570;17.660;;;P;;150;1;143;1;3;1;1;0;0
R3;632;3224;JELSANE - NOVOKRACINE;0;3.441;523;Novokracine;ROCNO;07x1;400;5;368;5;12;9;0;0;1
R3;633;1099;BITNJE - JEREKA;0;1.934;239;Jereka;ROCNO;04x4;1.650;6;1.538;20;65;15;1;1;4
R3;633;1098;JEREKA - JEZERO;0;6.800;9;Boh. Cesnjica;ROCNO;07x1;1.500;30;1.386;15;44;18;3;2;2
R3;634;1104;JAVORNIK - GORJE;0;8.264;241;Kocna;QLD5; ;2.201;36;2.021;13;88;21;16;2;4
R3;634;1094;GORJE - BLED;0;3.430;235;Spodnje Gorje;QLD5; ;4.532;62;4.055;61;205;73;60;7;9
R3;635;1121;LESCE - K.GORICA-LIPNICA;0;11.355;250;Kamna Gorica;QLD5; ;2.124;48;1.869;16;94;51;41;2;3
R3;635;1122;LIPNICA - KROPA;0;2.000;251;Kamna Gorica 2;ROCNO;06x4;1.250;30;1.101;35;56;20;5;1;2
R3;635;1122;KROPA - RUDNO;2.000;15.217;544;Rudno 2;ROCNO;07x1;780;25;686;5;40;5;17;1;1
R3;635;1127;RUDNO - CESNJICA;0;2.270;543;Rudno 1;ROCNO;07x1;1.070;20;955;5;55;8;20;2;5
R3;636;1126;LIPNICA - OVSISE;0;4.500;254;Kamna Gorica 3;ROCNO;06x4;2.200;20;1.855;20;110;40;90;25;40
R3;636;1126;OVSISE - GOBOVCE;4.500;5.944;547;Gobovce;ROCNO;07x1;3.520;8;2.553;18;301;140;320;70;110
R3;636;1529;PODTABOR - PRIKLJ. PODBREZJE;0;1.950;548;Podtabor-1;ROCNO;07x1;2.680;1;2.042;20;210;115;192;40;60
R3;636;1529;PRIKLJ. PODBREZJE - ZVIRCE;1.950;2.571;549;Podtabor-2;ROCNO;07x1;2.900;1;2.440;20;192;90;82;30;45
R3;638;1131;ZIROVNICA - BEGUNJE;0;6.290;256;Begunje 1;ROCNO;06x4;1.650;25;1.470;45;80;20;5;2;3
R3;638;1132;BEGUNJE - BISTRICA(TRZIC);0;10.420;257;Begunje 2;ROCNO;05x4;1.000;25;876;50;40;5;2;1;1
R3;639;1141;LJ(SENTVID - SMARTNO);0;3.000;325;LJ Tacen;QLD5; ;11.604;145;10.626;152;450;115;57;25;34
