Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov < 3,5t;Sr. tov  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
R1;201;0205;KRAJE - HRUSICA;0;4.030;902;Hrusica;QLTC8;7.861;153;6.938;92;531;53;53;14;27;103;WIM
R1;202;0234;MP RATECE - RATECE;0;1.380;658;MT Ratece;QLD5;1.970;96;1.729;17;93;18;13;1;3;20;PLDP
R1;202;0233;RATECE - PODKOREN;0;2.926;778;Ratece;R 10x4;2.750;100;2.443;50;100;30;20;2;5;42;PLDP
R1;203;1002;MP PREDEL - KLUZE;0;12.500;657;MT Predel;QLD5;781;128;554;7;62;12;14;2;2;15;PLDP
R1;203;1002;KLUZE - BOVEC;12.500;14.904;536;Kluze;R 07x1;1.050;140;780;10;90;11;15;2;2;16;PLDP
R1;203;1003;BOVEC(PO OBVOZNICI) - ZAGA;0;9.904;535;Bovec;QLD6;1.800;144;1.389;13;204;18;22;4;6;26;PLDP
R1;203;1004;ZAGA - KOBARID;0;13.395;96;Srpenica;QLD5;2.074;113;1.584;33;218;45;58;9;14;55;WIM
R1;204;1012;SEMPETER - VOLCJA DRAGA;0;2.800;262;Volcja Draga;QLD6;9.272;91;8.617;26;449;50;31;4;4;42;PLDP
R1;204;1012;VOLCJA DRAGA - DORNBERK;2.800;8.343;203;Prvacina;QLD6;5.697;87;5.164;25;339;36;34;5;7;42;PLDP
R1;204;1013;DORNBERK - STANJEL;0;13.078;204;Branik;QLD6;2.231;62;1.981;11;143;16;14;2;2;17;PLDP
R1;204;1014;STANJEL - DUTOVLJE;0;7.820;24;Kopriva;R 11x4;1.650;60;1.405;13;130;20;15;3;4;21;PLDP
R1;204;1015;DUTOVLJE - SEZANA;0;7.890;205;Tomaj;QLD*;3.073;89;2.726;14;190;30;16;2;6;25;PLDP
R1;205;1026;DIVACA - LOKEV-LIPICA;0;8.655;418;MT Lipica;QLD5;4.784;102;4.328;9;290;33;15;1;6;22;PLDP
R1;206;1027;KRANJSKA GORA  -  ERIKA;0;3.372;220;Erika;QLD*;836;113;644;7;60;5;4;1;2;8;PLDP
R1;206;1043;RUSKA CESTA (ERIKA - VRSIC);0;8.978;;;P;500;110;326;5;50;4;4;1;0;6;PLDP
R1;206;1028;VRSIC - TRENTA;0;8.960;197;Vrsic;QLD5;402;105;259;2;27;4;4;1;0;4;PLDP
R1;206;1029;TRENTA - BOVEC;0;22.141;198;Koritnica;QLD5;1.184;116;923;8;105;15;15;1;1;15;PLDP
R1;207;1057;GODOVIC - CRNI VRH;0;6.871;105;Godovic;QLD6;1.764;33;1.471;12;123;22;27;41;35;71;PLDP
R1;207;1058;CRNI VRH - COL;0;9.602;;;P;1.390;30;1.100;10;120;20;35;45;30;73;PLDP
R1;207;1413;COL - AJDOVSCINA;0;8.696;427;Budanje;QLD6;2.611;46;2.232;6;162;31;46;47;41;87;PLDP
R1;208;1434;CRNI KAL  -  KORTINE;0;2.236;748;Crni Kal;QLD*;3.246;246;2.700;20;235;19;19;2;5;26;PLDP
R1;208;1059;KORTINE - GRACISCE;0;8.555;2;Kubed;QLD6;2.460;67;2.184;9;166;18;12;1;3;16;PLDP
