Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Tip pr. odseka;Tip avt. stevca;Leto roc. (avt.) stetja;Ime stevnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.
AC;A1;0030;MP SENTILJ-SENTILJ;0;1.137;674;O;QLD-6; ;MP Sentilj AC;10.800;32;9.693;147;830;33;11;54
AC;A1;0031;SENTILJ - PESNICA;0;9.965;837;O;QLD-3; ;CP Pesnica;12.935;40;10.534;152;897;43;69;1.200
AC;A1;0066;MB(PTUJSKA)-ROGOZA;0;2.650;840;O;QLD-6; ;Ptujska AC;10.240;32;8.652;22;687;208;310;329
AC;A1;0066;ROGOZA-SLIVNICA;2650;4.857;;P; ; ; ;9.500;35;8.245;30;390;140;210;450
AC;A1;0034;SLIVNICA;0;1.757;;P; ; ; ;32.500;55;25.775;110;1.970;470;750;3.370
AC;A1;0035;SLIVNICA-FRAM;0;1.910;802;O;QLD-6; ;Hoce AC;32.484;60;25.443;113;2.157;472;864;3.375
AC;A1;0036;FRAM-SL.BISTRICA-SEVER;0;7.200;;P; ; ; ;28.000;40;22.000;100;1.460;350;750;3.300
AC;A1;0036;SL.BISTRICA-SEVER-JUG;7200;9.733;;P; ; ; ;32.000;55;26.925;100;1.330;230;460;2.900
AC;A1;0037;SL.BISTRICA-SL.KONJICE;0;8.720;;P; ; ; ;21.600;60;16.268;85;1.676;400;611;2.500
AC;A1;0037;SL.KONJICE-CP TEPANJE;8720;9.119;838;O;QLD-3; ;CP Tepanje;18.808;30;13.798;80;1.600;350;550;2.400
AC;A1;0136;PRIKLJ. SL. KONJICE;0;1.790;833;O;QLD-3; ;CP Sl. Konjice;5.670;67;4.923;10;170;150;200;150
AC;A1;0038;SL.KONJICE-DRAMLJE;0;10.886;;P; ; ; ;22.000;24;15.622;111;2.213;630;800;2.600
AC;A1;0039;DRAMLJE-CELJE;0;8.437;;P; ; ; ;28.000;34;20.429;155;2.632;700;950;3.100
AC;A1;0040;CELJE-CELJE ZAHOD;0;5.410;648;O;QLD-6; ;Lopata AC;33.289;68;25.040;140;2.496;634;1.060;3.851
AC;A1;0040;CELJE ZAHOD-ARJA VAS;5410;7.510;;P; ; ; ;38.000;70;29.880;140;2.300;750;1.000;3.860
AC;A1;0041;ARJA VAS-SEMPETER;0;7.510;;P; ; ; ;29.000;60;22.310;90;1.260;680;750;3.850
AC;A1;0041;SEMPETER-SENTRUPERT;7510;9.652;;P; ; ; ;26.000;60;19.620;110;1.160;550;700;3.800
AC;A1;0042;SENTRUPERT-VRANSKO;0;7.899;839;O;QLD-3; ;CP Vransko;21.696;41;15.700;132;1.323;400;600;3.500
AC;A1;0043;VRANSKO-TROJANE;0;9.940;836;O;QLD-6; ;Jasovnik AC;24.912;39;17.945;146;1.946;408;664;3.764
AC;A1;0067;TROJANE - BLAGOVICA;0;8.683;2001;O;QLD-6; ;Sentozbolt AC;23.590;31;17.792;210;1.568;334;451;3.204
AC;A1;0142;PRIKLJ.BLAGOVICA;0;200;842;O;QLD-6; ;CP Blagovica-CE;335;0;255;2;24;12;11;31
AC;A1;0142;PRIKLJ. BLAGOVICA;200;553;843;O;QLD-6; ;CP Blagovica-LJ;385;1;312;6;27;10;9;20
AC;A1;0044;BLAGOVICA-LUKOVICA;0;8.830;834;O;QLD-6; ;CP Kompolje;23.639;31;17.853;214;1.570;331;448;3.192
AC;A1;0044;LUKOVICA-KRTINA;8830;12.465;;P; ; ; ;24.000;18;18.722;200;1.110;300;450;3.200
AC;A1;0169;PRIKLJ. LUKOVICA;0;2.239;831;O;QLD-6; ;CP Lukovica_Lj;848;1;774;1;42;7;6;17
AC;A1;0143;PRIKLJ. KRTINA;0;808;835;O;QLD-6; ;CP Krtina-Lj;2.260;2;2.094;2;91;20;23;28
AC;A1;0045;KRTINA-DOMZALE;0;3.485;;P; ; ; ;27.000;20;21.690;110;1.160;310;460;3.250
AC;A1;0046;DOMZALE-SENTJAKOB;0;5.402;830;O;QLD-6; ;Psata AC;39.596;75;31.856;169;2.696;524;689;3.587
AC;A1;0047;SENTJAKOB-SNEBERJE;0;1.170;;P; ; ; ;52.000;95;44.105;180;2.580;650;740;3.650
AC;A1;0047;SNEBERJE-LJ(ZADOBRAVA);1170;2.788;;P; ; ; ;53.000;100;44.970;180;2.610;840;700;3.600
AC;A1;0048;LJ (ZADOBROVA-ZALOSKA);0;1.409;;P; ; ; ;57.000;85;50.095;170;2.520;840;690;2.600
AC;A1;0049;LJ (ZALOSKA-LITIJSKA);0;1.277;;P; ; ; ;52.000;55;44.665;170;2.790;890;930;2.500
AC;A1;0050;LJ (LITIJSKA-MALENCE);0;3.979;180;O;QLD-6; ;V Obvoznica;55.111;85;47.060;138;3.292;1.012;912;2.612
AC;A1;0019;LJ (MALENCE-DOLENJSKA C.);0;456;;P; ; ; ;56.000;110;48.130;250;2.590;670;650;3.600
AC;A1;0018;LJ (DOLENJSKA - PERUZIJEVA);0;2.110;;P; ; ; ;51.000;120;43.145;210;2.450;735;800;3.540
AC;A1;0018;LJ (PERUZIJEVA-BARJANSKA);2110;3.943;178;O;QLD-6; ;J Obvoznica;53.961;144;44.303;222;4.067;814;899;3.512
AC;A1;0017;LJ (BARJANSKA-VIC);0;2.758;;P; ; ; ;57.500;170;49.420;240;2.600;810;660;3.600
AC;A1;0016;LJ (VIC-KOZARJE);0;794;;P; ; ; ;59.000;210;50.800;180;2.500;910;700;3.700
AC;A1;0051;LJ (KOZARJE)-BREZOVICA;0;2.408;;P; ; ; ;58.500;100;49.630;240;2.070;910;650;4.900
AC;A1;0052;BREZOVICA-VRHNIKA;0;12.424;800;O;QLD-3; ;CP Ljubljana;43.962;100;35.092;300;3.100;420;650;4.300
