Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip;;;
AC;A1;0044;LUKOVICA - KRTINA;8.821;12.465;;;P;45.000;120;33.160;260;4.900;610;310;800;4.840;4.986;PLDP;;;
AC;A1;0169;PRIKLJ. LUKOVICA ;0;2.279;831;CP Lukovica-LJ;Prazno;2.350;15;2.102;3;140;15;20;15;40;58;PLDP;;;
AC;A1;0143;PRIKLJ. KRTINA;0;340;851;Priklj. Krtina-CE;QLTC8;1.583;4;1.193;5;196;38;13;20;114;127;PLDP;;;
AC;A1;0143;PRIKLJ. KRTINA;340;761;835;Priklj. Krtina-LJ;QLTC8;5.378;23;4.720;4;398;40;32;23;138;155;PLDP;;;
AC;A1;0045;KRTINA - DOMZALE;0;3.485;;;P;49.150;145;37.008;260;5.125;613;320;805;4.874;5.021;PLDP;;;
AC;A1;0046;DOMZALE - SENTJAKOB;0;5.402;830;Psata AC;QLTC8;57.409;43;44.320;249;5.965;649;353;830;5.000;5.157;PLDP;;;
AC;A1;0047;SENTJAKOB - SNEBERJE;0;1.159;;;P;70.500;50;57.250;280;5.900;750;400;850;5.020;5.257;PLDP;;;
AC;A1;0047;SNEBERJE - LJ (ZADOBRAVA);1.159;1.545;2401;Sneberje AC;QLTC8;72.564;70;57.805;288;7.108;877;482;883;5.051;5.381;PLDP;;;
AC;A1;0047;LJ (ZADOBRAVA) - R LJ ZADOBROVA;1.545;2.866;1005;Zadobrova AC;QLTC8;36.616;37;28.430;124;3.843;484;274;505;2.919;3.067;PLDP;;;
AC;A1;0146;RAZCEP LJ ZADOBROVA;0;1730;1001;Razcep Zadobrova-MB;QLTC8;35.948;33;29.375;164;3.265;393;208;378;2.132;2.314;PLDP;;;
AC;A1;0146;RAZCEP LJ ZADOBROVA;1.730;3.161;1003;Razcep Zadobrova-LJvzh;QLTC8;34.436;37;30.715;44;2.567;351;249;126;347;602;PLDP;;;
AC;A1;0048;R LJ ZADOBROVA - IND. CONA MOSTE;0;536;;;P;80.500;74;67.738;168;6.410;835;525;750;4.000;4.352;PLDP;;;
AC;A1;0048;LJ (IND. CONA MOSTE - ZALOSKA);536;1.330;;;P;79.500;75;66.850;160;6.600;875;540;700;3.700;4.084;PLDP;;;
AC;A1;0049;LJ (ZALOSKA - LITIJSKA);0;1.277;;;P;70.000;80;57.530;170;6.500;850;590;680;3.600;4.005;PLDP;;;
