Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Tip pr. odseka;Tip avt. stevca;Leto roc. (avt.) stetja;Ime stevnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.
AC;A1;0016;LJ (VIC - KOZARJE);0;794;;P;;;;63.800;210;52.240;300;4.800;910;1.140;4.200
AC;A1;0051;LJ(KOZARJE)-BREZOVICA;0;2.408;;P;;;;62.000;100;49.790;260;4.400;850;900;5.700
AC;A1;0052;BREZOVICA-VRHNIKA;0;12.424;800;O;QLD-3 BS;;CP Ljubljana;47.289;119;36.813;337;3.418;450;764;5.388
AC;A1;0150;PRIKLJ. VRHNIKA;0;1.381;804;O;QLD-3 BS;;CP Vrhnika;11.759;32;10.147;55;735;230;235;325
AC;A1;0053;VRHNIKA-LOGATEC;0;8.279;;P;;;;38.000;90;28.220;280;3.050;320;580;5.460
AC;A1;0151;PRIKLJ. LOGATEC;0;2.480;805;O;QLD-3 BS;;CP Logatec;5.188;48;4.010;8;560;190;45;327
AC;A1;0054;LOGATEC-UNEC;0;10.422;;P;;;;36.800;65;27.405;270;2.800;200;520;5.540
AC;A1;0152;PRIKLJ. UNEC;0;404;824;O;QLD-3 BS;;CP Unec-LJ;3.644;12;3.237;21;109;160;50;55
AC;A1;0152;PRIKLJ. UNEC;404;788;825;O;QLD-3 BS;;CP Unec-KP;1.269;3;1.001;11;54;105;55;40
AC;A1;0055;UNEC-POSTOJNA;0;11.375;822;O;QLD-6;;Ravbarkomanda AC;34.439;98;24.959;298;2.599;406;552;5.527
AC;A1;0153;PRIKLJ. POSTOJNA;0;900;826;O;QLD-3 BS;;CP Postojna-LJ;7.189;48;6.073;88;215;175;245;345
AC;A1;0153;PRIKLJ. POSTOJNA;900;1.178;827;O;QLD-3 BS;;CP Postojna-KP;1.942;17;1.629;28;70;100;58;40
AC;A1;0056;POSTOJNA-RAZDRTO;0;9.370;;P;;;;29.200;70;20.530;240;2.450;330;360;5.220
AC;A1;0056;RAZDRTO-NANOS;9.370;11.182;;P;;;;29.100;68;20.497;235;2.440;325;325;5.210
AC;A1;0197;PRIKLJ. RAZDRTO;0;250;828;O;QLD-6;;CP Razdrto-LJ;329;2;250;2;18;9;20;28
AC;A1;0197;PRIKLJ. RAZDRTO;250;698;829;O;QLD-6;;CP Razdrto-KP;225;0;189;1;7;3;5;20
AC;A1;0057;NANOS - SENOZECE;0;5.458;;P;;;;24.300;65;17.390;230;2.000;165;250;4.200
AC;A1;0155;PRIKLJ. SENOZECE;0;1.680;818;O;QLD-6;;CP Senozece;1.257;2;1.008;5;90;27;33;92
AC;A1;0058;SENOZECE -  GABRK;0;4.384;812;O;QLD-6;;Cebulovica AC;23.666;61;17.166;222;1.620;236;235;4.126
AC;A1;0059;GABRK - DIVACA;0;2.873;;P;;;;17.600;35;14.550;150;1.400;175;90;1.200
AC;A1;0157;PRIKLJ. DIVACA;0;2.079;817;O;QLD-6;;CP Divaca;1.417;4;1.163;15;93;33;49;60
AC;A1;0060;DIVACA-KOZINA;0;6.940;2101;O;QLD-6;;Kozina AC;16.776;52;13.990;135;1.098;154;183;1.164
AC;A1;0060;KOZINA-CP VIDEZ;6.940;7.151;820;O;QLD-6;;CP Videz;15.094;46;12.742;118;946;126;153;963
AC;A1;0158;PRIKLJ. KOZINA;0;700;821;O;QLD-6;;CP Kozina-LJ;1.682;7;1.247;17;151;28;31;201
AC;A1;0158;PRIKLJ. KOZINA;700;2.195;823;O;QLD-6;;CP Kozina-KP;1.087;5;802;7;85;21;22;145
AC;A1;0061;KOZINA-KASTELEC;0;8.470;2102;O;QLD-6;;Ravne AC;16.181;50;13.544;125;1.031;147;175;1.109
AC;A1;0061;KASTELEC-CRNI KAL;8.470;11.818;;P;;;;20.200;50;17.000;120;1.350;200;370;1.110
AC;A1;0062;CRNI KAL - SRMIN;0;7.116;803;O;QLD-6;;Dekani AC;21.123;92;17.668;114;1.461;243;385;1.160
