Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;NOO;TIP
AC;A1;0030;MP SENTILJ - POCIVALISCE SENTILJ;0;482;674;MT Sentilj AC;QLD6;16.986;46;13.195;100;1.337;172;128;277;1.731;1.773;PLDP
AC;A1;0030;POCIVALISCE SENTILJ - SENTILJ;482;1.137;869;Sentilj AC;QLTC8;16.805;45;13.066;99;1.314;171;126;271;1.713;1.752;PLDP
AC;A1;0128;PRIKLJ.SENTILJ - MP SENTILJ;0;1.646;868;Priklj. Sentilj MP;QLD6;393;1;323;1;36;2;3;6;21;24;PLDP
AC;A1;0031;SENTILJ  -  PESNICA;0;9.761;837; Pesnica AC;QLTC8;21.759;56;17.118;182;1.868;170;77;373;1.915;2.036;PLDP
AC;A1;0065;PESNICA - DRAGUCOVA;0;2.570;;;P;22.000;50;17.380;200;1.900;150;100;350;1.870;1.996;PLDP
AC;A1;0071;DRAGUCOVA - MB (ZRKOVSKA);0;4.452;889;Malecnik AC;QLTC8;30.100;75;20.165;305;3.270;560;185;840;4.700;4.878;PLDP
AC;A1;0071;MB (ZRKOVSKA)  - MB (PTUJSKA);4.452;7.770;;;P;30.200;70;19.910;300;3.400;580;240;850;4.850;5.028;PLDP
AC;A1;0066;MB (PTUJSKA) - ROGOZA;0;2.590;840;Ptujska AC;QLTC8;36.200;90;25.250;310;3.900;600;300;850;4.900;5.102;PLDP
AC;A1;0066;ROGOZA - SLIVNICA;2.590;4.857;;;P;33.800;80;23.170;290;3.750;550;280;830;4.850;5.010;PLDP
AC;A1;0034;SLIVNICA;0;1.757;;;P;39.200;80;28.670;240;4.050;720;360;770;4.310;4.574;PLDP
AC;A1;0035;SLIVNICA - FRAM;0;1.910;802;Hoce AC;QLTC8;39.227;78;28.694;242;4.051;721;361;766;4.314;4.576;PLDP
AC;A1;0134;PRIKLJ. FRAM  -  MB;0;1.000;848;Priklj. Fram-MB;QLTC8;6.100;15;4.705;25;425;80;70;120;660;690;PLDP
AC;A1;0134;PRIKLJ. FRAM -  CE;1.000;1.368;849;Priklj. Fram-CE;QLTC8;2.350;5;1.450;20;255;45;25;80;470;476;PLDP
