Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;TIP;
G1;6;0343;IL.BISTRICA - DOLNJI ZEMON;0;2.800;83;Koseze;QLD;7.629;114;6.736;52;439;51;35;34;168;200;PLDP;
G1;6;0343;DOLNJI ZEMON  -  MP JELSANE;2.800;9.961;504;MP Jelsane;QLTC8;4.577;94;3.884;47;304;34;22;25;167;180;PLDP;
G1;7;0356;MP STAROD - PODGRAD;0;6.561;503;MP Starod;QLTC8;4.284;84;3.531;59;317;35;6;38;214;240;DIST;
G1;7;0355;PODGRAD - OBROV;0;5.900;526;Male Loce;QLTC10;4.583;2;3.834;34;260;40;24;52;337;313;PLDP;
G1;7;0354;OBROV - KOZINA;0;14.500;604;Gradisce;QLD;6.808;75;5.580;48;491;67;69;81;397;449;DIST;
G1;7;0353;KOZINA - MP KOZINA;0;3.340;652;MT Kozina;QLTC8;5.867;124;4.947;59;383;41;17;41;255;280;WIM;
G1;8;0213;LJ(SENTVID  -  OBVOZNICA);0;2.900;725;LJ Celovska Dravlje;QLD;40.775;73;37.113;514;2.385;247;186;79;178;621;PLDP;
G1;9;1503;DRAZENCI-JUROVCI (LANCOVA VAS);0;1.860; ; ;P;10.500;30;7.035;100;2.385;90;40;110;710;611;DIST;
G1;9;0362;JUROVCI ;0;1.000; ; ;P;11.400;40;7.920;115;2.385;100;50;90;700;602;DIST;
G1;9;0351;JUROVCI - PODLEHNIK;0;4.200;682;Jurovci;QLTC8;10.554;45;8.725;118;753;76;39;81;717;600;WIM;
G1;9;0351;PODLEHNIK  -  MP GRUSKOVJE;4.200;10.450;518; Gruskovje;QLTC8;8.367;35;6.770;117;595;53;16;75;706;564;DIST;
G1;11;1062;KOPER - SMARJE;0;6.000;149;Koper;QLTC8;15.322;249;13.754;47;992;87;52;21;120;149;DIST;
G1;11;1062;SMARJE - DRAGONJA;6.000;13.650;150;Pesjanci;QLD;10.344;189;9.169;53;720;57;23;20;113;120;WIM;
G1;11;1062;DRAGONJA - MP DRAGONJA;13.650;14.724;14;MP Dragonja;QLD3;7.701;138;6.825;41;504;45;20;20;108;133;PLDP;
G1;11;1475;SLAVCEK -  KOPER;0;700; ; ;P;31.000;250;28.900;180;1.350;120;80;30;90;254;PLDP;
G1;11;1475;KOPER - LUKA KOPER;700;2.424; ; ;P;13.800;35;12.095;200;1.150;80;60;45;135;288;PLDP;
G2;101;0232;MP LJUBELJ - BISTRICA(TRZIC);0;12.500;660;MT Ljubelj;QLD;2.276;91;1.999;11;146;15;11;1;2;17;PLDP;
G2;101;0231;BISTRICA(TRZIC) - ZVIRCE;0;3.280;3;Kovor;QLD5;8.947;65;8.117;23;455;116;123;39;9;131;PLDP;
G2;101;0230;ZVIRCE - PODTABOR;0;1.228;554;Zvirce;R 07x1;8.300;50;7.538;24;445;115;80;40;8;112;PLDP;
G2;102;1031;MP ROBIC - ROBIC;0;0;655;MT Robic;QLD;1.119;1;1.105;0;7;1;2;2;1;3;PLDP;
G2;102;1031;ROBIC - STARO SELO;0;5.630;914;Staro selo;QLD;2.222;54;2.080;1;60;7;9;7;4;14;PLDP;
G2;102;1030;STARO SELO - KOBARID;0;3.320;212;Kobarid;R 11x4;3.000;60;2.833;2;65;15;10;10;5;20;PLDP;
G2;102;1005;KOBARID - IDRSKO;0;2.200;679;Idrsko;QLD6;3.997;144;3.441;21;255;35;64;17;20;76;PLDP;
G2;102;1006;IDRSKO - PERSETI;0;11.715;97;Perseti;QLD6;4.302;132;3.686;17;293;52;77;19;26;70;DIST;
G2;102;1040;PERSETI - MOST NA SOCI;0;7.334;405;Prapetno;QLD6;4.133;90;3.619;24;260;44;65;15;16;60;DIST;
G2;102;1039;MOST NA SOCI - BACA;0;2.205;533;Most na Soci;R 07x1;5.000;95;4.505;30;220;65;40;20;25;60;DIST;
G2;102;1038;BACA - DOL. TREBUSA;0;8.550;104;Slap ob Idrijci;QLD;2.345;73;1.968;17;176;30;56;12;13;60;PLDP;
G2;102;1037;DOL TREBUSA - ZELIN;0;13.118;406;Stopnik;QLD5;1.541;56;1.233;17;101;41;68;11;14;68;PLDP;
G2;102;1036;ZELIN - SP. IDRIJA(MAROF);0;11.300;447;Otalez;QLD6;2.434;57;2.074;33;168;27;43;14;18;67;PLDP;
G2;102;1035;SP. IDRIJA;0;1.900; ; ;P;5.900;55;5.405;55;210;65;50;20;40;112;PLDP;
G2;102;1034;SP. IDRIJA - GODOVIC;0;13.277;617;Idrija;QLD6;4.313;81;3.638;69;338;49;74;24;40;130;PLDP;
G2;102;1033;GODOVIC - KALCE;0;11.233;100;Hotedrsica;QLTC10;4.027;103;3.293;33;350;82;57;29;80;103;WIM;
G2;102;1460;KALCE - LOGATEC;0;3.490;74;Kalce;QLD6;6.038;186;5.021;67;412;83;124;59;86;155;DIST;
G2;102;1461;LOGATEC - PRIKLJ. LOGATEC;0;1.672;395;Logatec;QLTC10;8.818;11;7.485;11;834;139;81;83;174;257;PLDP;
G2;103;1007;PERSETI - USNIK;0;4.015;546;Volce;R 07x1;3.300;110;2.770;25;210;40;90;25;30;103;PLDP;
G2;103;1008;USNIK - KANAL;0;12.580;616;Doblar;QLD6;3.363;100;2.845;20;251;42;56;18;31;82;PLDP;
G2;103;1008;KANAL - PLAVE;12.580;20.070;754;Deskle;QLD6;5.798;104;5.006;32;365;52;69;33;137;181;PLDP;
G2;103;1009;PLAVE - SOLKAN;0;10.070;99;Solkan;QLD6;6.464;110;5.660;29;362;54;75;35;139;186;PLDP;
G2;103;1390;SOLKAN-NOVA GORICA (KROMBERK);0;1.972;693;Solkan 3;QLTC8;7.378;121;6.354;19;495;92;100;38;159;217;PLDP;
G2;103;1486;KROMBERK  -  ROZNA DOLINA;0;2.589;222;Panovec;QLTC8;24.472;198;22.500;125;1.215;149;112;31;142;281;PLDP;
G2;103;1447;NG(R. DOLINA)  -  SEMPETER;0;2.315;227;Sempeter RD;QLD6;11.354;71;10.279;23;628;66;89;49;149;208;PLDP;
G2;104;1136;KRANJ - LETALISCE BRNIK;0;6.000;200;KR Primskovo 1;QLTC8;24.908;123;22.352;78;1.742;211;131;80;191;395;DIST;
G2;104;1136;LETALISCE BRNIK - SP.BRNIK;6.000;8.453;627;Brnik;QLD;9.763;93;8.130;89;808;202;164;77;200;420;DIST;
G2;104;1137;SP.BRNIK - MOSTE;0;5.953;781;Komenda;QLTC10;8.762;82;7.219;51;825;209;122;61;193;363;WIM;
G2;104;1138;MOSTE - MENGES;0;3.900;115;Topole;QLTC10;9.294;61;7.790;55;873;162;107;58;188;292;PLDP;
G2;104;1388;MENGES (KAMNISKA C. - KOLODVORSKA);0;802; ; ;P;7.000;50;5.960;30;600;100;80;30;150;204;PLDP;
G2;104;1139;MENGES (KOLODVORSKA C.) - LOKA;0;1.975;918;Menges;QLTC8;7.218;37;6.476;9;491;71;56;25;53;103;PLDP;
G2;104;1139;LOKA - TRZIN;1.975;4.530;116;Loka;QLTC10;15.500;79;13.865;53;1.077;169;90;50;117;178;DIST;
G2;104;1496;MENGES (SLOVENSKA C.) ;0;1.548; ; ;P;8.000;40;7.080;40;600;90;60;30;60;119;DIST;
G2;104;0295;TRZIN - LJ(CRNUCE);0;3.687;73;Trzin;QLTC8;31.923;149;28.774;157;2.154;295;169;69;156;316;WIM;
G2;104;0087;LJ(CRNUCE  -  BRNCICEVA);0;890;172;S Vpadnica;QLTC8;31.411;120;28.233;40;2.307;312;159;69;171;280;DIST;
G2;104;0087;LJ(BRNCICEVA  -  TOMACEVO);890;2.870; ; ;P;39.600;125;35.725;60;2.400;440;400;110;340;640;PLDP;
G2;105;0254;NOVO MESTO (AC  -  LOCNA);0;910; ; ;P;15.500;65;13.165;55;1.210;280;205;220;300;469;DIST;
G2;105;0257;NOVO MESTO (LOCNA - KRKA);0;1.070;193;NM Locna;QLTC10;17.356;60;15.410;45;1.110;194;128;172;237;349;DIST;
G2;105;1511;NOVO MESTO (KRKA) ;0;940;118;NM Obvoznica;QLTC8;17.648;60;15.629;49;1.117;226;172;167;228;375;DIST;
G2;105;0255;NOVO MESTO(KRKA - REVOZ);0;1.805;177;NM Zabja vas;QLTC8;12.423;65;10.633;70;911;214;165;159;206;365;DIST;
G2;105;0256;NOVO MESTO(REVOZ) - METLIKA;0;26.301;607;Gorjanci;QLD6;4.379;37;3.777;31;307;46;71;39;71;116;WIM;
G2;105;0258;METLIKA - MP METLIKA;0;1.480;155;MP Metlika;QLD6;2.254;19;2.114;5;60;5;6;13;32;27;DIST;
G2;106;0215;LJ(RUDNIK) - SKOFLJICA;0;4.555;6;Skofljica;QLTC8;17.870;142;15.688;183;1.270;198;179;65;145;382;PLDP;
G2;106;0260;SKOFLJICA;0;520; ; ;P;14.100;105;12.655;120;700;200;130;70;120;311;PLDP;
G2;106;0261;SKOFLJICA - RASICA;0;16.290;117;Zelimlje;QLD;7.894;71;6.918;68;527;86;75;55;94;164;WIM;
G2;106;0262;RASICA - ZLEBIC;0;12.425;410;Zlebic;QLD6;6.562;69;5.674;62;435;63;116;58;85;169;DIST;
G2;106;0263;ZLEBIC - BREG;0;2.300; ; ;P;6.750;60;5.725;70;550;90;100;75;80;206;DIST;
G2;106;0263;BREG - HROVACA;2.300;4.500; ; ;P;9.400;80;8.365;60;570;100;80;70;75;201;DIST;
G2;106;0263;HROVACA - DOLENJA VAS;4.500;9.490;751;Gorica vas;QLTC10;8.161;107;7.142;54;550;98;58;49;103;241;DIST;
G2;106;0263;DOLENJA VAS - KOCEVJE;9.490;18.779;619;Stara Cerkev;QLD6;5.577;67;4.874;50;326;47;72;63;78;206;WIM;
G2;106;0264;KOCEVJE ;0;1.900; ; ;P;7.200;70;6.540;50;320;45;60;55;60;149;DIST;
G2;106;0264;KOCEVJE - LIVOLD;1.900;6.269;744;Kocevje;QLD6;5.089;72;4.611;15;259;40;50;24;18;71;PLDP;
G2;106;0265;LIVOLD - STALCERJI;0;6.200;119;Stalcerji;QLD;1.941;37;1.807;6;64;5;10;6;6;18;PLDP;
G2;106;0265;STALCERJI - FARA;6.200;21.580;750;Banja Loka;R 09x1;1.150;50;1.017;7;60;3;5;4;4;13;PLDP;
G2;106;0266;FARA - PETRINA;0;2.450;742;Petrina 1;QLD;778;27;721;1;20;2;3;1;3;5;PLDP;
G2;106;0266;PETRINA - MP PETRINA;2.450;2.560;507;MP Petrina;PRAZNO;210;5;196;1;3;4;1;0;0;2;PLDP;
G2;106;0216;SKOFLJICA - SMARJE SAP;0;2.461;26;Skofljica 2;QLD6;4.014;25;3.509;10;296;52;81;15;26;84;PLDP;
G2;107;1274;CELJE - STORE;0;4.500;420;Celje Teharje;QLTC8;15.785;88;14.203;64;878;181;127;55;189;303;DIST;
G2;107;1274;STORE -  SENTJUR;4.500;10.902;134;Sentjur;QLD6;10.913;60;9.970;62;507;71;106;57;80;185;DIST;
G2;107;1275;SENTJUR - SMARJE PRI JELSAH;0;11.300;622;Stopce;QLD6;8.674;48;7.660;37;522;70;125;77;135;219;WIM;
