Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
AC;A1;0169;PRIKLJ. LUKOVICA ;0;2.279;831;CP Lukovica-LJ;PRAZNO;2.400;15;2.135;5;150;15;20;20;40;63;PLDP
AC;A1;0143;PRIKLJ. KRTINA;0;340;851;Priklj. Krtina-CE;QLTC8;1.696;3;1.272;9;196;54;15;25;122;146;PLDP
AC;A1;0143;PRIKLJ. KRTINA;340;761;835;Priklj. Krtina-LJ;QLTC8;5.500;21;4.838;4;383;45;40;17;152;167;PLDP
AC;A1;0045;KRTINA - DOMZALE;0;3.485;;;P;50.500;130;38.090;275;5.200;635;330;890;4.950;5.184;PLDP
AC;A1;0046;DOMZALE - SENTJAKOB;0;5.402;830;Psata AC;QLTC8;59.574;41;46.253;269;6.150;640;350;823;5.048;5.216;PLDP
AC;A1;0047;SENTJAKOB - SNEBERJE;0;1.159;;;P;72.500;50;58.600;320;6.500;720;390;860;5.060;5.330;PLDP
AC;A1;0047;SNEBERJE - LJ (ZADOBRAVA);1.159;1.545;2401;Sneberje AC;QLTC8;74.453;71;59.669;326;7.144;825;465;895;5.058;5.420;PLDP
AC;A1;0047;LJ (ZADOBRAVA) - R LJ ZADOBROVA;1.545;2.866;1005;Zadobrova AC;QLTC8;37.091;36;28.770;125;3.849;455;253;515;3.088;3.205;PLDP
AC;A1;0146;RAZCEP LJ ZADOBROVA;0;1.730;1001;R Zadobrova-MB;QLTC8;37.463;36;31.000;202;3.304;370;212;378;1.961;2.207;PLDP
AC;A1;0146;RAZCEP LJ ZADOBROVA;1.730;3.161;1003;R Zadobrova-LJvzh;QLTC8;34.966;37;31.050;44;2.653;367;297;130;388;666;PLDP
AC;A1;0048;R LJ ZADOBROVA - IND. CONA MOSTE;0;536;;;P;80.700;80;67.677;168;6.500;845;510;820;4.100;4.503;PLDP
AC;A1;0048;LJ (IND. CONA MOSTE - ZALOSKA);536;1.330;;;P;79.800;75;66.895;160;6.700;880;520;770;3.800;4.232;PLDP
AC;A1;0049;LJ (ZALOSKA - LITIJSKA);0;1.277;;;P;70.800;80;58.040;170;6.600;840;570;750;3.750;4.188;PLDP
AC;A1;0050;LJ (LITIJSKA - MALENCE);0;3.460;180;V Obvoznica;QLTC8;67.229;72;54.861;155;6.428;830;557;716;3.610;4.030;PLDP
AC;A1;0050;LJ (LITIJSKA - MALENCE);3.460;3.979;1018;R Malence (LJvzh-LJjug);QLTC8;43.783;74;34.875;125;4.204;537;394;486;3.088;3.257;PLDP
AC;A1;0119;RAZCEP LJ MALENCE;0;1.136;1020;Razcep Malence-NM;QLTC8;23.293;21;20.144;38;1.917;265;180;179;549;757;PLDP
AC;A1;0019;LJ (MALENCE - DOLENJSKA C.);0;456;2408;Debeli hrib AC;QLTC8;78.881;112;63.530;458;7.305;820;564;993;5.099;5.657;PLDP
AC;A1;0018;LJ (DOLENJSKA  -  PERUZIJEVA);0;2.098;;;P;68.300;80;54.260;310;6.500;800;500;1.050;4.800;5.329;PLDP
AC;A1;0018;LJ (PERUZIJEVA - BARJANSKA);2.098;3.943;178;J Obvoznica;QLTC8;72.000;53;57.240;335;6.916;911;465;1.143;4.937;5.553;PLDP
AC;A1;0017;LJ (BARJANSKA  -  VIC);0;2.758;;;P;69.500;100;55.190;360;6.400;900;450;1.100;5.000;5.576;PLDP
AC;A1;0016;LJ (VIC  -  KOZARJE);0;794;2403;Dolgi most AC;QLTC8;78.378;100;62.959;505;7.494;786;437;1.014;5.083;5.640;PLDP
