Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Tip pr. odseka;Tip avt. stevca;Leto roc. stetja;Ime stevnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tez. tov. nad 7t;Tov. s prik.;ZAPORED
AC;A1;0060;DIVACA-KOZINA;0;7.160;820;P;;;;11.800;42;10.414;80;638;142;82;402;102
AC;A1;0158;PRIKLJ. KOZINA;0;700;821;O;QLD6;x;CP KOZINA-LJ;1.312;4;960;14;119;32;18;165;104
AC;A1;0158;PRIKLJ. KOZINA;700;1.654;823;O;QLD6;x;CP KOZINA-KP;278;4;232;2;24;6;2;8;104
AC;A1;0061;KOZINA-KLANEC(CRNI KAL);0;3.950;820;O;QLD6;x;CP VIDEZ;10.540;34;9.322;71;594;124;75;320;105
AC;A1;0236;KRIZ. DEKANI-BERTOKI;0;2.180;11;P;;;;45.000;190;40.890;228;2.134;562;378;618;108
AC;A1;0237;BERTOKI-KP(SKOCJAN);0;2.500;11;O;QLD6;99x4;BERTOKI AC;45.182;200;40.990;220;2.186;506;416;664;111
AC;A2;0001;MP KARAVANKE-HRUSICA;0;5.360;673;O;;x;MP KARAVANKE;5.652;27;4.736;43;230;228;131;257;114
AC;A2;0002;HRUSICA-LIPCE;0;7.168;646;P;;;;14.500;72;12.266;122;910;532;144;454;120
AC;A2;0003;LIPCE-LESCE;0;6.360;646;O;QLD6;x;LIPCE AC;15.530;44;13.474;140;936;220;196;520;123
AC;A2;0006;(PODTABOR) BISTRICA-KRANJ Z;0;3.800;647;O;QLD6;x;NAKLO;29.180;80;25.574;284;1.902;384;360;596;126
AC;A2;0007;KRANJ Z-KRANJ V;0;5.704;851;O;;99x4;KOKRICA AC;18.000;86;15.812;94;1.040;336;208;424;129
AC;A2;0008;KRANJ V - BRNIK;0;3.887;850;P;;;;17.000;46;16.376;48;208;66;96;160;132
AC;A2;0009;BRNIK - VODICE;0;5.250;850;O;QLD3;97x12;CP TOROVO;17.691;47;16.814;50;214;116;169;281;135
AC;A2;0010;VODICE -LJ( SMARTNO);0;6.968;853;O;QLD6;x;POVODJE AC;26.264;60;24.002;164;1.218;248;152;420;139
