Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Tip pr. odseka;Tip avt. stevca;Leto roc. stetja;Ime stevnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tez. tov. nad 7t;Tov. s prik.;ZAPORED
G1;11;1475;SLAVCEK- KOPER;0;700;11;P;;;;24.804;106;22.713;126;1.188;373;178;120;338
G1;11;1475;KOPER-LUKA KOPER;700;2.275;11;P;;;;4.600;8;3.734;30;410;116;172;130;338
G1;12;0344;RAZDRTO;0;50;819;O;QLD6;x;CP NANOS;5.081;10;3.307;50;385;165;100;1.064;339
G1;12;0344;RAZDRTO-MANCE;50;11.756;644;O;QLD6;97x4;PODGRIC;6.148;26;4.015;48;379;218;226;1.236;339
G1;12;0345;MANCE-VIPAVA;0;1.375;635;P;;;;7.000;14;4.556;69;530;228;138;1.465;340
G2;101;0232;MP LJUBELJ-BISTRICA(TRZIC);0;12.500;660;O;QLD3;97x1;MP LJUBELJ;1.791;44;1.659;22;18;48;0;0;341
G2;101;0231;BISTRICA(TRZIC)-ZVIRCE;0;3.280;3;O;QLD6;99x4;KOVOR;7.379;59;7.213;13;58;25;5;6;344
G2;101;0230;ZVIRCE-PODTABOR;0;2.700;3;P;;;;7.000;56;6.842;13;55;24;5;5;346
G2;102;1031;MP ROBIC-STARO SELO;0;5.630;655;O;QLD3;x;MP ROBIC;685;0;670;6;3;6;0;0;347
G2;102;1030;STARO SELO-KOBARID;0;3.320;212;O;;00x4;KOBARID;2.400;25;2.205;13;71;43;36;7;348
G2;102;1005;KOBARID-IDRSKO;0;2.200;679;O;QLD6;x;IDRSKO;3.833;72;3.403;22;178;82;42;34;349
G2;102;1006;IDRSKO-PRSETI;0;11.670;97;O;;x;IDRSKO;4.000;12;3.515;66;193;91;37;86;350
G2;102;1040;PERSETI-MOST NA SOCI;0;7.600;404;O;;99x1;TOLMIN;5.000;31;4.450;50;211;124;103;31;351
G2;102;1039;MOST NA SOCI-BACA;0;2.130;404;P;;;;3.500;22;3.114;35;147;87;73;22;352
G2;102;1038;BACA-DOL. TREBUSA;0;8.500;104;O;;99x1;IDRIJA PRI BACI;2.200;8;1.866;35;128;90;38;35;353
G2;102;1037;DOL TREBUSA-ZELIN;0;13.300;440;O;;99x1;ZELIN 2;1.900;10;1.597;29;102;49;71;42;354
G2;102;1036;ZELIN-SPODNJA IDRIJA(MAROF);0;11.300;447;O;;99x1;ZELIN 3;2.400;9;2.087;43;121;38;56;46;355
G2;102;1035;SPODNJA IDRIJA;0;1.900;617;P;;;;2.800;21;2.447;32;151;80;26;43;356
G2;102;1034;SP. IDRIJA-GODOVIC;0;13.460;617;O;QLD6;x;IDRIJA;3.946;34;3.472;42;210;84;44;60;357
G2;102;1033;GODOVIC-KALCE;0;11.233;100;O;;99x4;HOTEDRSICA;3.500;24;2.929;46;189;167;26;119;358
G2;102;1460;KALCE-LOGATEC;0;3.490;74;O;;99x4;KALCE;7.000;84;6.028;95;315;274;52;152;359
G2;102;1461;LOGATEC;0;1.672;74;P;;;;4.500;55;3.900;31;204;177;34;99;360
G2;103;1007;PERSETI-USNIK;0;4.080;616;P;;;;3.300;36;2.712;24;191;171;99;67;362
G2;103;1008;USNIK-PLAVE;0;20.230;616;O;QLD6;x;DOBLAR;3.285;50;2.793;22;206;90;68;56;363
G2;103;1009;PLAVE-SOLKAN;0;10.070;99;O;QLD6;99x1;SOLKAN;6.509;41;5.850;28;234;106;86;164;364
G2;103;1010;SOLKAN-NG(KROMBERSKA C.);0;2.500;99;P;;;;15.000;104;13.343;73;534;376;226;344;365
G2;103;1010;NG(KROMBERSKA C.)-NOVA GORICA;2.500;5.192;209;P;;;;23.000;56;20.930;72;950;486;203;303;365
G2;103;1447;NG(R. DOLINA) - SEMPETER AC;0;2.315;209;P;;;;8.800;21;8.007;28;364;186;78;116;368
G2;104;1136;KRANJ-LETALISCE BRNIK;0;6.000;113;O;;99x4;BRNIK-LETALISCE;13.000;38;11.669;76;658;318;117;124;370
G2;104;1136;LETALISCE BRNIK-SP.BRNIK;6.000;8.330;627;O;QLD6;98x1;BRNIK;13.494;50;11.863;84;785;352;178;182;370
G2;104;1137;SP.BRNIK-MOSTE;0;6.245;627;P;;;;9.500;34;8.349;64;566;245;120;122;371
G2;104;1138;MOSTE-MENGES;0;3.900;115;O;;02x4;TOPOLE;8.884;26;7.575;64;645;294;105;175;372
G2;104;1139;MENGES-TRZIN;0;4.158;116;O;QLD6;98x1;MENGESKA LOKA;16.524;30;14.743;62;923;356;216;194;373
G2;104;0295;TRZIN-LJ(CRNUCE);0;3.687;73;O;QLD6;98x12;TRZIN;31.678;60;28.520;192;1.726;484;356;340;373.1
G2;104;0087;LJ(CRNUCE - BRNCICEVA);0;1.000;172;O;QLD6;97x12;S VPADNICA;34.712;56;31.364;72;1.972;536;388;324;373.3
G2;104;0087;LJ(BRNCICEVA - TOMACEVO);1.000;2.970;172;P;;;;36.500;70;31.904;124;2.002;700;518;1.182;373.3
G2;105;0252;KARTELJEVO-NMBRSLJIN;0;3.025;63;O;;00x1;BUCNA VAS;7.700;48;6.754;71;472;195;64;96;374
G2;105;1601;RONDO NOVO MESTO (BUCNA VAS);0;108;63;P;;;;8.000;50;7.017;74;490;203;66;100;375
G2;105;0399;NOVO MESTO BUCNA VAS-KRKA;0;2.096;118;O;QLD6;x;NM OBVOZNICA;8.482;26;7.859;73;290;120;44;70;376
G2;105;0255;NOVO MESTO(KRKA-REVOZ);0;1.805;63;P;;;;13.600;86;11.925;125;834;344;115;171;377
G2;105;0256;NOVO MESTO(REVOZ)-METLIKA;0;26.555;607;O;QLD6;x;GORJANCI;3.674;22;3.116;30;225;92;74;115;378
G2;105;0258;METLIKA-MP METLIKA;0;1.480;155;O;QLD3;00x1;MP METLIKA;2.707;1;2.582;5;29;33;6;51;379
G2;105;0259;MACKOVEC-NM(KRKA);0;1.710;159;O;;98x1;MACKOVEC;17.500;93;15.197;206;811;429;282;482;380
G2;106;0215;LJ(RUDNIK)-SKOFLJICA;0;4.555;6;O;;98x12;SKOFLJICA;15.000;55;13.417;190;618;340;199;181;381
G2;106;0260;SKOFLJICA;0;520;117;P;;;;9.000;33;8.027;89;417;196;104;134;382
G2;106;0261;SKOFLJICA-RASICA;0;16.450;117;O;QLD6;98x1;ZELIMLJE;7.379;30;6.581;72;350;142;90;114;383
G2;106;0262;RASICA-ZLEBIC;0;12.550;410;O;QLD3;98x1;ZLEBIC 2;5.972;27;5.203;98;206;263;46;129;384
G2;106;0263;ZLEBIC-BREG;0;2.300;410;P;;;;5.500;25;4.932;93;198;152;26;74;385
G2;106;0263;BREG-HROVACA;2.300;4.500;410;P;;;;8.000;37;7.177;135;284;221;38;108;385
G2;106;0263;HROVACA-DOLENJA VAS;4.500;9.490;410;P;;;;5.500;25;4.934;93;196;152;26;74;385
G2;106;0263;DOLENJA VAS-KOCEVJE;9.490;19.050;619;O;QLD6;x;STARA CERKEV;5.467;34;4.881;54;246;102;50;100;385
G2;106;0264;KOCEVJE-LIVOLD;0;6.142;119;P;;;;2.700;68;2.398;28;91;38;57;20;386
G2;106;0265;LIVOLD-STALCERJI;0;6.200;119;O;;00x1;STALCERJI;2.300;58;2.044;24;77;32;48;17;387
G2;106;0265;STALCERJI-FARA;6.200;21.580;507;P;;;;1.000;5;989;3;3;0;0;0;387
G2;106;0266;FARA-MP PETRINA;0;2.560;507;O;QLD3;x;MP PETRINA;790;4;782;2;2;0;0;0;388
G2;106;0216;SKOFLJICA-SMARJE SAP;0;3.000;6;P;;;;3.500;13;3.131;44;144;79;47;42;389
G2;107;1274;CE(VZHODNA M.)-STORE;0;4.500;134;P;;;;14.000;18;12.845;127;498;219;119;174;390
G2;107;1274;STORE- SENTJUR;4.500;10.980;134;O;QLD6;98x4;SENTJUR;10.615;32;9.710;90;387;158;96;142;390
G2;107;1275;SENTJUR-MESTINJE;0;14.410;622;O;QLD6;00x1;STOPCE;8.174;22;7.281;46;335;144;108;238;391
G2;107;1238;MESTINJE-PODPLAT;0;2.060;622;P;;;;7.000;40;6.302;53;288;132;60;125;392
G2;107;1276;PODPLAT-ROG. SLATINA;0;2.450;136;O;;00x4;ROGASKA SLATINA;8.000;36;7.168;61;279;237;71;148;393
G2;107;1276;ROG. SLATINA - ROGATEC;2.450;12.500;687;O;QLD6;x;CEROVEC;3.046;14;2.729;23;106;90;28;56;393
G2;107;1277;ROGATEC;0;2.000;337;P;;;;2.300;0;1.914;54;114;32;0;186;394
G2;107;1277;ROGATEC-MP DOBOVEC;2.000;7.865;337;O;QLD3;97x1;MP DOBOVEC;1.089;0;807;22;48;30;0;182;394
G2;108;1180;CRNUCE-SENTJAKOB;0;3.580;120;O;;97x1;SENTJAKOB;8.950;25;8.421;25;237;155;47;40;395
G2;108;1181;SENTJAKOB-DOLSKO;0;7.000;120;P;;;;13.000;37;12.230;36;344;225;69;59;396
G2;108;1181;DOLSKO-RIBCE;7.000;14.870;121;O;;01x1;DOLSKO;11.350;30;10.351;49;456;257;99;108;396
G2;108;1182;RIBCE-LITIJA;0;13.474;678;O;QLD6;x;ZGORNJI LOG;8.108;30;7.342;28;376;150;96;86;397
G2;108;1183;LITIJA-ZAGORJE;0;14.981;620;O;QLD6;97x1;RENKE;5.473;24;4.823;16;306;140;78;86;398
G2;108;1184;ZAGORJE-TRBOVLJE;0;4.316;122;O;;99x4;ZAGORJE 1;7.600;23;6.899;14;256;193;116;99;399
G2;108;1185;TRBOVLJE-HRASTNIK;0;5.162;123;O;;99x4;TRBOVLJE 1;5.800;11;5.106;57;239;170;89;128;400
G2;108;1186;HRASTNIK-ZIDANI MOST;0;8.520;124;O;;99x1;ZIDANI MOST;1.600;9;1.472;1;87;30;1;0;401
G2;109;0357;MP PETISOVCI-PETISOVCI;0;1.000;143;O;QLD3;x;MP PETISOVCI;1.947;6;1.827;11;23;11;18;51;402
G2;109;0357;PETISOVCI-LENDAVA;1.000;4.300;89;O;;02x4;LENDAVA 2;2.160;7;1.864;14;89;48;40;98;402
G2;110;0327;G.RADGONA-MP G.RADGONA;0;970;665;O;QLD3;x;MP GORNJA RADGONA;4.487;4;4.158;15;89;26;2;193;403
G2;111;0238;KOPER-RUDA(IZOLA);0;5.435;626;O;QLD6;x;IZOLA;27.886;134;25.877;204;1.111;288;156;116;404
G2;111;0373;RUDA(IZOLA)-VALETA;0;8.255;13;O;QLD6;99x4;IZOLSKA OBVOZNICA;16.214;72;15.142;80;644;148;72;56;407
G2;111;0239;VALETA-SECOVLJE;0;7.000;12;O;;02x4;SECOVLJE;6.347;100;5.750;66;315;80;15;21;409
G2;111;0239; SECOVLJE-MP SECOVLJE;7.000;7.280;500;O;QLD3;x;MP SECOVLJE;5.168;57;5.041;16;15;16;6;17;409
R1;201;0201;MP KORENSKO SEDLO-PODKOREN;0;3.650;659;O;QLD3;x;MP KOR. SEDLO;1.569;12;1.534;3;8;12;0;0;411
R1;201;0202;PODKOREN-KR.GORA;0;2.550;659;P;;;;4.000;31;3.935;6;22;4;2;0;412
R1;201;0203;KR.GORA-MOJSTRANA-DOVJE;0;12.100;631;O;QLD3;x;GOZD MARTULJEK;5.665;35;5.122;122;117;209;30;30;413
R1;201;0204;DOVJE-MOJSTRANA-KRAJE;0;2.420;631;P;;;;6.100;39;5.664;134;129;104;15;15;414
R1;201;0205;KRAJE-HRUSICA;0;4.030;631;P;;;;6.200;39;5.758;136;131;105;15;16;415
R1;202;0234;MP RATECE-RATECE;0;1.380;658;O;QLD3;x;MP RATECE;1.913;11;1.879;12;8;1;2;0;416
R1;202;0233;RATECE-PODKOREN;0;3.050;658;P;;;;2.000;11;1.965;12;10;1;0;1;417
R1;203;1002;MP PREDEL-BOVEC;0;15.200;657;O;;x;MP PREDEL;200;5;192;3;0;0;0;0;418
R1;203;1003;BOVEC(PO OBVOZNICI)-ZAGA;0;9.820;96;P;;;;1.800;58;1.483;31;134;51;29;14;419
R1;203;1004;ZAGA-KOBARID;0;13.500;96;O;QLD3;00x4;SRPENICA;1.576;49;1.242;26;113;80;45;21;420
R1;204;1012;SEMPETER-DORNBERK;0;2.800;203;P;;;;9.000;66;8.254;57;317;193;66;47;421
R1;204;1012;VOLCJA DRAGA-DORNBERK;2.800;8.343;203;O;;00x4;DOMBRAVA;5.000;37;4.584;32;176;108;37;26;421
R1;204;1013;DORNBERK-STANJEL;0;13.185;204;O;QLD6;x;BRANIK;2.861;30;2.589;14;146;46;16;20;422
R1;204;1014;STANJEL-DUTOVLJE;0;7.820;205;P;;;;3.000;42;2.673;22;120;35;45;63;423
R1;204;1015;DUTOVLJE-SEZANA;0;7.890;205;O;QLD3;x;TOMAJ;4.239;58;3.722;31;167;64;81;116;424
R1;205;1026;DIVACA-LOKEV-LIPICA;0;8.710;418;O;SBH;x;MP LIPICA;3.067;23;3.022;1;19;2;0;0;425
R1;206;1027;KR.GORA-VRSIC;0;12.570;220;O;SBH;x;ERIKA;532;26;488;7;4;4;3;0;426
R1;206;1028;VRSIC-TRENTA;0;8.960;211;P;;;;440;23;399;7;4;4;3;0;427
R1;206;1029;TRENTA-BOVEC;0;22.600;211;O;SBH;x;TRENTA;394;19;361;6;3;3;2;0;428
R1;207;1057;GODOVIC-CRNI VRH;0;7.030;105;O;;99x4;CRNI VRH;2.000;8;1.692;19;105;108;14;54;429
R1;207;1058;CRNI VRH-COL;0;9.602;105;P;;;;1.000;4;846;10;52;54;7;27;430
R1;207;1413;COL-AJDOVSCINA;0;8.696;427;O;QLD6;98x4;BUDANJE;3.238;2;2.954;4;56;178;24;20;431
R1;208;1059;AVER-GRACISCE;0;8.750;2;O;QLD6;x;KUBED;3.255;30;2.908;20;187;42;16;52;432
R1;208;1060;GRACISCE-SOCERGA;0;5.000;151;O;;01x4;GRACISCE;2.930;32;2.687;54;106;22;8;21;433
R1;208;1060;SOCERGA - MP  SOCERGA;5.000;8.600;502;O;QLD3;x;MP SOCERGA;2.535;9;2.416;18;6;83;3;0;433
R1;208;1149;RIZANA-MOSTICJE;0;1.950;151;P;;;;1.200;13;1.100;22;44;9;3;9;434
R1;209;1088;LESCE-BLED;0;3.545;109;O;QLD6;x;BLED;18.648;10;17.933;66;231;356;34;18;435
R1;209;1089;BLED-PRISTAVA;0;2.200;109;P;;;;9.500;69;9.201;52;93;63;16;6;436
R1;209;1089;PRISTAVA-SOTESKA;2.200;10.530;110;O;QLD3;x;BOHINJSKA BELA;3.374;32;3.150;16;52;89;23;12;436
R1;209;1090;SOTESKA-BITNJE;0;8.510;110;P;;;;3.300;32;3.147;16;52;38;10;5;437
R1;209;1091;BITNJE-BOH.BISTRICA;0;1.340;110;P;;;;3.300;32;3.147;16;52;38;10;5;438
R1;209;1092;BOH.BISTRICA-JEZERO;0;6.200;255;O;;99x1;BOHINJ;1.600;9;1.388;65;53;23;62;0;439
R1;210;1105;MP ZG.JEZERSKO-SP.JEZERSKO;0;10.500;661;O;SBH;97x1;MP JEZERSKO;232;7;208;2;7;8;0;0;440
R1;210;1106;SP. JEZERSKO-PREDDVOR;0;15.800;242;O;;01x4;KOKRA;1.340;64;1.197;20;34;16;5;4;441
R1;210;1107;PREDDVOR-KR(PRIMSKOVO);0;8.575;249;O;QLD3;x;VISOKO;5.973;23;5.500;46;187;148;37;32;442
R1;210;1108;KR(PRIMSKOVO-LABORE);0;2.600;244;O;;02x4;KRANJ 2;14.509;62;13.065;26;791;331;94;140;443
R1;210;1109;KRANJ-SKOFJA LOKA;0;7.770;111;O;QLD6;99x4;DORFARJE;11.885;46;10.732;88;545;222;134;118;444
R1;210;1077;SKOFJA LOKA;0;930;111;P;;;;20.000;162;18.197;140;729;512;115;145;445
R1;210;1110;SK.LOKA-GORENJA VAS;0;16.170;112;O;QLD6;x;ZMINEC;6.449;30;5.857;44;280;128;78;32;446
R1;210;1111;GORENJA VAS-TREBIJA;0;4.980;408;O;;99x1;TREBIJA 1;4.000;40;3.535;70;186;63;83;23;447
R1;210;1112;TREBIJA-SOVODENJ;0;5.880;409;O;QLD3;99x1;TREBIJA 2;1.207;25;1.092;7;20;16;38;9;448
R1;210;1113;SOVODENJ-CERKNO;0;11.981;409;P;;;;1.100;23;1.027;6;18;6;16;4;449
R1;210;1114;CERKNO-ZELIN;0;4.200;102;O;;99x1;ZELIN;2.200;13;1.903;65;86;44;62;27;450
R1;210;1078;SKOFJA LOKA-JEPRCA;0;6.170;106;O;QLD6;99x4;GODESIC;12.166;30;10.889;80;567;242;158;200;451
R1;211;0211;KR(LABORE)-JEPRCA;0;8.150;625;O;QLD6;00x4;MEJA PRI KRANJU;11.938;32;10.624;150;592;206;136;198;453
R1;211;0212;JEPRCA-MEDVODE;0;3.650;52;O;;98x1;MEDVODE;20.000;185;17.775;320;768;577;71;304;455
R1;211;0212;MEDVODE-STANEZICE;3.650;8.000;643;O;QLD6;x;MEDNO;26.131;56;23.440;296;1.189;428;292;430;455
R1;211;0212;STANEZICE -LJ( SENTVID);8.000;8.675;643;P;;;;27.000;61;24.316;281;1.245;493;250;354;455
R1;212;1115;UNEC;0;610;245;P;;;;6.800;14;6.073;50;300;147;84;132;456
R1;212;1116;UNEC-RAKEK;0;2.160;245;P;;;;7.100;15;6.341;52;313;154;88;137;457
R1;212;1117;RAKEK-CERKNICA;0;3.980;245;O;QLD6;98x1;RAKEK;6.900;34;6.146;48;304;148;82;138;458
R1;212;1118;CERKNICA-BL.POLICA;0;10.965;246;O;QLD3;98x1;GRAHOVO;4.212;34;3.646;31;138;215;43;105;459
R1;212;1119;BL.POLICA-SODRAZICA;0;17.315;247;O;QLD3;98x1;NOVA VAS;2.351;22;2.100;13;58;95;15;48;460
R1;212;1120;SODRAZICA-ZLEBIC;0;5.770;248;O;;98x1;ZLEBIC 1;2.400;12;1.992;33;138;151;12;62;461
R1;213;1365;BLOSKA POLICA-PUDOB;0;8.200;386;O;;98x1;STARI TRG;2.400;8;2.176;47;81;49;4;35;462
R1;213;1366;PUDOB-BABNO POLJE;0;10.460;384;O;SBH;97x1;MP BABNO POLJE;542;6;495;26;8;4;0;3;463
R1;214;1156;KOCEVJE-STARI LOG;0;11.975;268;P;;;;1.000;14;910;3;30;19;11;13;464
R1;214;1157;STARI LOG-DVOR;0;14.750;268;O;QLD3;x;SMUKA;1.023;14;905;3;30;32;18;21;465
R1;215;1456;TREBNJE;0;1.450;270;P;;;;11.000;26;9.814;63;559;243;142;153;466
R1;215;1162;TREBNJE-MOKRONOG;0;14.200;270;O;QLD6;97x1;BISTRICA;4.253;12;3.795;26;218;92;52;58;467
R1;215;1163;MOKRONOG-BOSTANJ;0;18.630;448;O;;01x1;TRZISCE;2.030;11;1.653;14;201;93;26;32;468
R1;216;1367;IVANCNA GORICA-KRKA;0;6.850;387;O;;98x1;IVANCNA GORICA 2;4.200;21;3.829;48;153;87;29;33;469
R1;216;1175;KRKA-ZUZEMBERK;0;13.550;277;O;QLD6;98x1;ZAGRADEC;2.857;14;2.593;16;110;48;30;46;470
R1;216;1158;ZUZEMBERK-DVOR;0;4.270;278;O;;00x1;ZUZEMBERK 2;3.400;35;2.986;56;195;73;23;32;471
R1;216;1176;DVOR-SOTESKA;0;5.550;163;O;;00x1;DVOR;4.000;61;3.399;55;274;114;22;75;472
R1;216;1177;SOTESKA-CRMOSNJICE;0;14.355;279;O;QLD3;x;PODTURN;2.661;5;2.401;29;46;90;23;67;473
R1;216;1178;CRMOSNJICE-RUCETNA VAS;0;9.600;279;P;;;;3.000;6;2.791;34;53;57;16;43;474
R1;216;1178;RUCETNA VAS-CRNOMELJ;9.600;15.210;280;O;QLD6;99x1;CRNOMELJ;5.346;4;4.934;22;200;74;58;54;474
R1;217;1208;LIVOLD-BREZOVICA;0;16.230;466;O;;00x1;MOZELJ;950;8;740;5;57;42;72;26;475
R1;217;1209;BREZOVICA-DOBLICE;0;17.000;299;O;;x;BREZOVICA;50;0;41;2;3;2;1;1;476
R1;217;1209;DOBLICE-KANIZARICA;17.000;19.930;300;O;;x;DOBLICE;350;0;299;10;13;17;2;9;476
R1;218;1211;METLIKA-PODZEMELJ;0;5.570;450;O;;00x1;PODZEMELJ 3;3.700;41;3.317;48;155;79;21;39;477
R1;218;1212;PODZEMELJ-CRNOMELJ;0;8.950;302;O;QLD6;x;PODZEMELJ 1;3.424;14;3.122;20;128;62;34;44;478
R1;218;1152;CRNOMELJ;0;730;302;P;;;;10.000;41;9.170;53;324;200;106;106;479
R1;218;1213;CRNOMELJ-KANIZARICA;0;2.215;303;P;;;;5.000;19;4.684;54;67;117;45;14;480
R1;218;1214;KANIZARICA-VINICA;0;15.535;303;O;QLD3;99x1;DRAGATUS;2.150;8;1.967;23;30;81;31;10;481
R1;218;1153;VINICA;0;160;154;P;;;;1.700;3;1.609;47;22;19;0;0;482
R1;218;1215;VINICA-MOST CEZ KOLPO;0;850;154;O;SBH;x;MP VINICA;574;1;544;16;7;6;0;0;483
R1;219;1236;SL.BISTRICA-POLJCANE;0;8.600;125;O;;00x1;POLJCANE;5.500;38;4.660;51;259;223;158;111;484
R1;219;1410;POLJCANE;0;700;125;P;;;;6.000;42;5.083;56;282;243;172;122;485
R1;219;1237;POLJCANE-PODPLAT;0;9.370;126;O;QLD6;x;PODPLAT;3.640;14;3.134;16;186;114;84;92;486
R1;219;1239;MESTINJE-GOLOBINJEK;0;14.900;128;O;QLD6;00x4;PODCETRTEK;4.847;20;4.326;28;227;96;60;90;487
R1;219;1240;GOLOBINJEK-BISTRICA;0;9.100;412;O;;98x1;BISTRICA 2;2.700;6;2.333;33;171;64;8;85;488
R1;219;1421;BISTRICA OB SOTLI;0;720;412;P;;;;3.500;8;3.022;43;222;84;11;110;489
R1;219;1241;BISTRICA-BIZELJSKO;0;6.805;413;O;QLD6;98x1;BIZELJSKO;1.413;12;1.177;8;76;64;26;50;490
R1;219;1242;BIZELJSKO-BREZICE;0;16.000;129;O;QLD6;00x1;BUKOSEK;2.878;10;2.623;8;119;46;28;44;491
R1;219;1242;BREZICE-CATEZ;16.000;17.570;129;P;;;;11.000;16;10.246;24;419;159;80;56;491
R1;220;1334;KRSKO-BREZICE;0;12.880;367;O;QLD6;x;DOLENJA VAS;5.656;2;5.339;18;85;180;20;12;492
R1;221;1227;TROJANE-IZLAKE;0;6.652;314;O;;99x4;TROJANE 2;2.300;11;1.966;12;114;89;45;63;494
R1;221;1218;IZLAKE-ZAGORJE;0;6.300;306;O;QLD6;99x4;KISOVEC;6.723;26;6.063;78;270;128;60;98;495
R1;221;1219;ZAGORJE-BEVSKO;0;5.450;307;O;;99x4;BEVSKO;3.000;17;2.744;92;102;35;8;2;496
R1;221;1220;BEVSKO-TRBOVLJE;0;3.000;127;P;;;;10.000;37;9.122;76;286;187;94;198;497
R1;221;1221;TRBOVLJE-HRASTNIK;0;9.100;309;O;;x;HRASTNIK;260;7;231;0;11;10;1;0;498
R1;221;1222;HRASTNIK-SMARJETA;0;9.650;310;O;QLD6;97x1;MARNO;4.352;18;3.773;48;197;122;62;132;499
R1;222;1228;ZAGORJE-MOST CEZ SAVO;0;1.950;127;P;;;;6.000;22;5.475;46;171;112;56;118;500
R1;223;1229;BEVSKO-MOST CEZ SAVO;0;1.220;127;O;;99x4;TRBOVLJE 2;8.000;29;7.298;61;229;150;75;158;501
R1;224;1230;HRASTNIK-MOST CEZ SAVO;0;1.500;123;P;;;;6.100;12;5.368;60;252;179;94;135;502
R1;225;1140;MENGES-DUPLICA;0;3.805;259;O;;02x4;DUPLICA;10.717;39;9.679;69;484;192;113;141;503
R1;225;1359;DUPLICA-KAMNIK;0;3.735;382;P;;;;12.000;21;11.621;42;150;91;54;21;504
R1;225;1424;KAMNIK-MEKINJE;0;700;382;P;;;;7.000;12;6.779;25;87;53;31;13;505
R1;225;1083;KAMNIK(MEKINJE)-SP.  STRANJE;0;2.000;231;O;;02x4;STRANJE;5.037;27;4.369;34;217;118;142;130;506
R1;225;1083;SPODNJE STRANJE-STAHOVICA;2.000;4.270;231;P;;;;4.000;48;3.558;34;117;75;105;63;506
R1;225;1084;STAHOVICA-CRNIVEC;0;10.615;233;O;;02x4;CRNA;1.830;11;1.625;20;91;43;25;15;507
R1;225;1085;CRNIVEC-GORNJI GRAD;0;12.200;237;O;QLD6;98x1;TIROSEK;1.560;2;1.412;4;22;108;6;6;508
R1;225;1085;GORNJI GRAD-RADMIRJE;12.200;17.850;234;O;;00x1;RADMIRJE 2;2.400;35;2.204;33;39;68;14;7;508
R1;225;1248;RADMIRJE-MOZIRJE;0;8.731;232;O;;00x1;RADMIRJE 1;3.800;53;3.470;37;40;123;52;25;509
R1;225;1248;MOZIRJE;8.731;11.331;139;O;;99x4;MOZIRJE;5.500;19;4.977;51;161;147;65;80;509
R1;225;1247;MOZIRJE-SOTESKA;0;2.455;138;P;;;;3.900;26;3.387;28;176;120;69;94;510
R1;225;1246;SOTESKA-LETUS;0;3.340;138;P;;;;3.500;24;3.039;25;158;108;62;84;511
R1;225;1246;LETUS-SENTRUPERT;3.340;12.200;138;O;QLD6;x;LETUS;5.731;38;4.998;38;263;158;96;140;511
R1;226;1254;MP HOLMEC-POLJANA;0;3.930;662;O;QLD3;00x4;MP HOLMEC;1.230;6;1.137;5;16;19;3;44;512
R1;226;1255;POLJANA-PREVALJE;0;2.000;432;O;QLD6;97x1;PREVALJE;7.280;22;6.641;72;257;136;50;102;513
R1;226;1255;PREVALJE-RAVNE;2.000;7.965;432;P;;;;11.500;27;10.504;117;369;226;98;159;513
R1;226;1256;RAVNE-DRAVOGRAD;0;7.080;160;O;QLD6;97x1;RAVNE;6.636;22;5.812;82;318;158;96;148;514
R1;227;1264;RAVNE-KOTLJE;0;3.600;319;O;QLD3;x;BRDINJE;6.150;31;5.652;23;290;102;47;5;515
R1;227;1423;KOTLJE-SLOVENJ GRADEC;0;11.154;322;O;;00x4;KOTLJE;4.600;23;4.250;17;218;61;28;3;516
R1;228;1291;SPUHLJA-BORL;0;8.500;341;O;QLD3;99x1;STOJNCI;4.734;5;4.231;51;123;93;62;169;517
R1;228;1291;BORL-MP ZAVRC;8.500;13.900;340;O;QLD3;97x1;MP ZAVRC;1.887;1;1.463;21;56;75;36;235;517
R1;229;1417;PTUJ-ROGOZNICA;0;2.080;62;P;;;;12.000;36;9.724;101;669;326;234;910;518
R1;229;1286;ROGOZNICA-SENARSKA;0;17.020;338;O;QLD6;98x4;GOCOVA;2.356;12;2.038;16;118;60;52;60;519
R1;229;1287;SENARSKA-LENART;0;4.100;442;O;;02x4;GRADISCE 3;4.059;16;3.604;34;212;100;38;55;520
R1;230;1164;RADENCI;0;400;352;P;;;;7.000;17;6.322;63;269;136;93;100;521
R1;230;1308;RADENCI-KRIZEVCI;0;12.420;352;O;QLD6;97x1;RADENCI;6.078;18;4.548;106;356;156;166;728;523
R1;230;1415;KRIZEVCI;0;700;353;P;;;;6.300;30;5.427;53;237;224;149;180;524
R1;230;1309;KRIZEVCI-LJUTOMER;0;7.300;353;O;QLD6;x;NORSINCI;5.916;34;5.160;50;240;188;126;118;525
R1;230;1310;LJUTOMER-PAVLOVCI;0;13.910;354;O;QLD6;97x1;IVANJKOVCI;3.276;18;2.653;28;203;90;92;192;526
R1;230;1311;PAVLOVCI-ORMOZ;0;1.860;354;P;;;;4.600;24;3.674;39;277;155;131;300;527
R1;230;1312;ORMOZ;0;1.500;354;P;;;;6.000;31;4.791;50;363;202;171;392;528
R1;230;0251;ORMOZ-MP ORMOZ;0;760;156;O;QLD3;x;MP ORMOZ;826;0;819;0;3;4;0;0;529
R1;231;1325;GIBINA-RAZKRIZJE;0;2.930;431;O;SBH;98x1;MP GIBINA;533;0;507;6;18;2;0;0;530
