Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov < 3,5t;Sr. tov  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
R3;741;0235;SKOFIJE MEJNI PREHOD  -  SKOFIJE;0;1.000;;;P;6.010;10;5.947;3;30;10;5;2;3;9;PLDP
R3;741;0235;SKOFIJE - R.SKOFIJE;1.000;2.055;686;Spodnje Skofije;QLD6;10.739;75;10.079;28;492;39;17;2;7;34;PLDP
R3;741;1487;DEKANI - PRIKLJ. LUKA KOPER;0;1.139;;;P;1.000;2;988;0;10;0;0;0;0;0;PLDP
R3;742;4806;PODPEC - VNANJE GORICE;0;4.390;691;Notranje Gorice;QLD6;4.438;48;3.832;74;316;63;65;16;24;102;PLDP
R3;742;4806;VNANJE GORICE - BREZOVICA;4.390;6.911;562;Brezovica 2;QLD;7.740;37;6.964;72;483;59;71;14;40;112;PLDP
R3;744;2346;STORE - LASKA VAS;0;2.210;786;Kompole;R 10x4;2.000;17;1.813;7;105;40;14;2;2;20;PLDP
R3;744;2346;LASKA VAS  -  SVETINA;2.210;8.400;;;P;700;5;655;10;15;10;5;0;0;9;PLDP
R3;744;2346;SVETINA  -  BRSTNIK;8.400;13.600;585;Svetina;R 07x1;280;6;248;4;12;8;1;1;0;4;PLDP
R3;744;2346;BRSTNIK  -  LASKO;13.600;16.792;787;Jagoce;R 10x4;780;9;707;0;44;14;6;0;0;6;PLDP
R3;745;4116;JANEZOVCI - DOLGE NJIVE;0;9.200;767;Drstelja;R 10x4;840;10;750;14;39;25;2;0;0;12;PLDP
R3;745;4118;DOLGE NJIVE - SPODNJI DUPLEK;0;7.520;;;P;900;10;884;0;6;0;0;0;0;0;PLDP
R3;746;2407;STARI TRG - LOSKI POTOK;0;11.920;;;P;100;5;92;0;3;0;0;0;0;0;PLDP
R3;747;4120;LENART - SVETA TROJICA;0;3.284;597;Sv. Trojica v Sl. Goricah;R 09x4;1.190;16;1.086;5;49;22;8;2;2;13;PLDP
R3;747;2805;SV. TROJICA-COGETINCI - SP.IVANJCI;0;9.498;596;Spodnji Ivanjci - 3;R 09x4;800;14;680;12;47;28;12;6;1;21;PLDP
R3;748;2412;VELIKE LASCE - M SLEVICA;0;3.000;;;P;1.000;10;933;3;50;4;0;0;0;2;PLDP
R3;748;2412;M SLEVICA - LUZARJI;3.000;11.400;;;P;200;5;188;2;5;0;0;0;0;1;PLDP
R3;748;2412;LUZARJI - NOVA VAS;11.400;18.017;;;P;800;15;751;2;30;2;0;0;0;1;PLDP
R3;749;8616;VOSEK - JUROVSKI DOL;0;8.605;;;P;700;10;414;20;140;40;16;25;35;62;PLDP
R3;749;4109;JUROVSKI DOL - LENART;0;7.164;698;Jurovski Dol;R 09x4;910;23;807;18;33;21;5;1;2;16;PLDP
R3;750;7709;SLOVENSKA VAS - SENTRUPERT;0;2.174;;;P;800;5;741;20;15;10;5;1;3;16;PLDP
R3;751;5507;NIZKA - RECICA OB SAVINJI;0;905;;;P;1.700;10;1.310;50;150;60;50;30;40;102;PLDP
R3;752;7206;ARCLIN - LJUBECNA;0;4.011;740;Ljubecna 2;QLD6;4.318;53;3.902;14;250;38;44;8;9;46;PLDP
