Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip   štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlačilci;Dnevni NOO;Tip
R2;405;1022;FAMLJE - RIBNICA;0;11.967;210;Buje;QLD6;1.308;22;1.110;4;84;17;18;17;36;47;PLDP
R2;406;1405;DEKANI  -  R.ŠKOFIJE;0;1.085;;;P;5.600;70;5.270;2;200;40;15;2;1;18;PLDP
R2;406;1407;R.ŠKOFIJE - KRIŽ.MORETINI;0;850;;;P;6.000;100;5.532;30;255;50;25;5;3;40;PLDP
R2;406;1407;KRIŽ.MORETINI - ANKARAN;850;5.130;403;Ankaran;QLD*;9.036;159;8.310;31;472;31;20;8;5;38;PLDP
R2;406;1407;ANKARAN - MP LAZARET;5.130;8.188;650;MT Lazaret;QLD5;1.677;112;1.493;24;21;20;4;2;1;18;PLDP
R2;407;1144;GORENJA VAS - LUČINE;0;9.000;263;Todraž;R 08x4;1.000;10;870;7;56;15;40;1;1;27;PLDP
R2;407;1144;LUČINE - LJUBLJANICA;9.000;13.926;;;P;300;5;273;5;10;2;5;0;0;5;PLDP
R2;407;1145;LJUBLJANICA - VRZDENEC;0;3.800;;;P;250;5;228;3;8;4;2;0;0;3;PLDP
R2;407;1145;VRZDENEC - HORJUL;3.800;6.800;;;P;1.410;40;1.240;10;70;30;10;6;4;22;PLDP
R2;407;1145;HORJUL - VRHNIKA;6.800;14.867;264;Horjul;QLD;1.968;39;1.698;4;143;34;33;6;11;36;PLDP
R2;408;1374;LOGATEC - ROVTE;0;10.500;393;Logatec;QLD*;2.404;39;2.045;12;173;27;52;34;22;72;PLDP
R2;408;1374;ROVTE -  ŽIRI;10.500;21.351;370;Zavratec;QLD5;787;27;629;8;48;30;26;10;9;34;PLDP
R2;408;1375;ŽIRI - TREBIJA;0;7.350;394;Žiri;QLTC10;3.567;72;3.067;31;284;54;29;13;17;57;PLDP
R2;409;0358;LJ(VIČ) - AC BREZOVICA;0;2.741;165;Gorjanc;QLTC10;11.203;135;9.874;200;769;83;52;29;61;184;PLDP
R2;409;0300;AC BREZOVICA - BREZOVICA;0;1.400;267;Brezovica;QLTC8;21.428;204;18.736;186;1.551;272;172;82;225;366;DIST
R2;409;0300;BREZOVICA - VRHNIKA;1.400;13.161;611;Drenov Grič;QLTC10;7.331;126;6.006;84;563;181;128;61;182;416;WIM
R2;409;0301;VRHNIKA - LOGATEC;0;9.525;153;Zapolje;QLTC10;5.804;188;4.570;100;504;158;110;70;104;229;WIM
R2;409;0302;LOGATEC (TRŽAŠKA C.) ;0;900;;;P;8.300;180;7.025;115;530;130;150;80;90;256;PLDP
