Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Tip pr. odseka;Tip avt. števca;Leto roč. štetja;Ime števnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tež. tov. nad 7t;Tov. s prik.
G1;2;1290;SL.BISTRICA-PRAGERSKO;0;7.300;196;O;QLD6; ;DEVINA;7.570;20;5.988;66;422;220;196;658
G1;2;1290;PRAGERSKO-KIDRIČEVO;7.300;16.470;642;O;;x;KIDRIČEVO 1;6.400;18;4.922;25;415;180;170;670
G1;2;1290;KIDRIČEVO-HAJDINA;16.470;20.060;629;O;QLD6;03x1;KIDRIČEVO 2;12.000;34;9.969;209;613;309;271;595
G1;2;0247;HAJDINA-PTUJ;0;2.070;637;O;QLD6; ;PTUJ ZAHOD;19.764;49;16.869;179;891;462;367;947
G1;2;0248;PTUJ;0;1.025;606;P; ; ; ;28.000;54;24.960;250;1.000;546;294;896
G1;2;0249;PTUJ-SPUHLJA;0;3.020;638;O;QLD6; ;PTUJ VZHOD;11.973;31;10.114;135;524;240;180;749
G1;2;0250;SPUHLJA-ORMOŽ;0;17.688;62;O;QLD6; ;CVETKOVCI;6.059;24;5.002;44;347;128;120;394
G1;2;0398;ORMOŽ Z - ORMOŽ V;0;3.020;62;P; ; ; ;4.800;15;3.891;40;268;130;93;363
G1;2;1313;ORMOŽ-SREDIŠČE OB DRAVI;0;9.000;355;O;QLD6; ;GRABE;2.772;14;2.318;18;114;42;34;232
G1;2;1313;SREDIŠČE OB DRAVI - MP SRED.;9.000;11.865;522;O;QLD3; ;MP SREDIŠČE OB DRAVI;1.070;5;706;10;100;17;12;220
G1;3;0314;PESNICA-LENART;0;14.520;84;O;QLD6; ;MOČNA;13.449;44;11.111;134;720;244;220;976
G1;3;0315;LENART-GORNJA RADGONA;0;17.558;85;O;QLD6; ;IHOVA;7.368;32;5.375;116;463;172;206;1.004
G1;3;0316;GORNJA RADGONA;0;1.942;86;P; ; ; ;11.800;31;9.631;132;497;227;202;1.080
G1;3;0366;GORNJA RADGONA-RADENCI;0;5.640;86;O;QLD6; ;ŠRATOVCI;10.604;36;8.429;156;565;206;202;1.010
G1;3;1164;RADENCI;0;374;352;P; ; ; ;7.200;17;5.703;65;277;140;95;903
G1;3;1308;RADENCI-VUČJA VAS;0;7.796;352;O;QLD6; ;RADENCI;5.150;14;3.770;60;200;66;100;940
G1;3;1397;LIPOVCI-BRATONCI;0;1.485;146;O;;x;LIPOVCI;12.710;3;10.946;127;396;160;131;947
G1;3;0320;BRATONCI-BELTINCI;0;2.250;87;P; ; ; ;9.000;14;7.305;138;366;234;91;852
G1;3;0321;BELTINCI-ČRENŠOVCI;0;5.800;87;O;;02x4;ODRANCI;5.200;2;3.806;90;200;98;86;918
G1;3;0369;ČRENŠOVCI;0;420;88;P; ; ; ;5.550;19;4.228;73;235;143;88;764
G1;3;0322;ČRENŠOVCI-D.LAKOŠ;0;14.050;88;O;QLD6;03x1;HOTIZA;5.320;8;3.901;52;233;94;86;946
G1;3;0815;D.LAKOŠ-RONDO DOLGA VAS;0;4.670;685;O;QLD6;03x1;LENDAVSKA OBVOZNICA;2.512;10;1.492;6;90;38;30;846
G1;3;0487;RONDO DOLGA VAS;0;91;141;P; ; ; ;2.300;6;1.270;3;68;40;38;875
G1;3;1453;DOLGA VAS-MP DOLGA VAS;0;2.520;141;O;QLD3;03x1;MP DOLGA VAS;2.499;7;1.472;5;41;46;39;889
