Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Tip pr. odseka;Tip avt. števca;Leto roč. (avt.) štetja;Ime števnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.
AC;A1;0030;MP ŠENTILJ-POČIVALIŠČE ŠENTILJ;0;460;674;O;QLD-6;;MP Šentilj AC;11.417;35;10.187;147;932;35;13;68
AC;A1;0030;POČIVALIŠČE ŠENTILJ-ŠENTILJ;460;1.137;869;O;QLD-6;;Šentilj AC;10.940;34;9.769;145;894;29;9;60
AC;A1;0128;PRIKLJ.ŠENTILJ-MP;0;1.444;868;O;QLD-6;;Prik. Šentilj - MP;478;1;421;1;39;5;3;8
AC;A1;0031;ŠENTILJ - PESNICA;0;9.965;837;O;QLD-3 BS;;CP Pesnica;13.849;42;10.788;178;1.131;90;70;1.550
AC;A1;0066;MB(PTUJSKA)-ROGOZA;0;2.650;840;O;QLD-6;;Ptujska AC;11.543;39;9.502;23;849;192;445;493
AC;A1;0066;ROGOZA-SLIVNICA;2.650;4.857;;P;;;;9.000;35;7.435;20;670;130;300;410
AC;A1;0034;SLIVNICA;0;1.757;;P;;;;34.800;70;26.610;120;2.340;500;930;4.230
AC;A1;0035;SLIVNICA-FRAM;0;1.910;802;O;QLD-6;;Hoče AC;34.739;70;26.531;126;2.342;508;932;4.230
AC;A1;0036;FRAM-SL.BISTRICA-SEVER;0;7.200;;P;;;;30.300;40;22.640;120;2.200;350;850;4.100
AC;A1;0036;SL.BISTRICA-SEVER-JUG;7.200;9.733;;P;;;;31.000;55;22.570;125;2.500;450;870;4.430
AC;A1;0037;SL.BISTRICA-SL.KONJICE;0;8.720;2002;O;QLD-3 BS;;Tepanje AC;23.538;50;16.165;103;1.851;427;742;4.200
AC;A1;0037;SL.KONJICE-CP TEPANJE;8.720;9.119;838;O;QLD-3 BS;;CP Tepanje;21.295;39;14.767;100;1.414;309;566;4.100
AC;A1;0136;PRIKLJ. SL. KONJICE;0;900;844;O;QLD-3 BS;;CP Sl.Konjice-MB;2.326;27;1.726;6;295;110;54;108
AC;A1;0136;PRIKLJ. SL.KONJICE;900;1.790;845;O;QLD-3 BS;;CP Sl.Konjice-CE;3.530;35;3.130;3;41;154;40;127
AC;A1;0038;SL.KONJICE-DRAMLJE;0;10.886;2003;O;QLD-3 BS;;Škedenj AC;24.742;53;17.177;108;1.945;449;780;4.230
AC;A1;0137;DRAMLJE-MB;0;600;846;O;QLD-3 BS;;Dramlje-MB;1.330;15;963;4;188;62;23;75
AC;A1;0137;DRAMLJE-CE;600;1.115;847;O;QLD-3 BS;;Dramlje-CE;5.329;40;4.040;9;597;217;168;258
AC;A1;0039;DRAMLJE-LJUBEČNA;0;6.240;2004;O;QLD-3 BS;;Žepina AC;27.862;59;19.708;122;2.190;505;878;4.400
AC;A1;0039;LJUBEČNA-CELJE;6.240;8.437;;P;;;;29.000;60;20.600;140;2.250;550;950;4.450
AC;A1;0040;CELJE-CELJE ZAHOD;0;5.410;648;O;QLD-6;;Lopata AC;36.505;78;26.976;160;2.870;662;1.151;4.608
AC;A1;0040;CELJE ZAHOD-ARJA VAS;5.410;7.510;;P;;;;41.000;70;31.220;180;3.000;770;1.300;4.460
AC;A1;0041;ARJA VAS-ŠEMPETER;0;7.510;;P;;;;34.900;65;25.700;175;2.800;760;850;4.550
AC;A1;0041;ŠEMPETER-ŠENTRUPERT;7.510;9.652;;P;;;;30.600;60;21.960;170;2.700;560;720;4.430
AC;A1;0042;ŠENTRUPERT-VRANSKO;0;7.899;839;O;QLD-3 BS;;CP Vransko;24.215;36;16.760;145;1.994;270;610;4.400
AC;A1;0043;VRANSKO-TROJANE;0;9.940;836;O;QLD-6;;Jasovnik AC;27.296;41;19.152;164;2.247;425;689;4.578
AC;A1;0067;TROJANE - BLAGOVICA;0;8.683;2001;O;QLD-6;;Šentožbolt AC;26.744;35;19.380;272;1.900;394;556;4.207
AC;A1;0142;PRIKLJ.BLAGOVICA;0;200;842;O;QLD-6;;CP Blagovica-CE;309;0;237;2;25;13;12;20
AC;A1;0142;PRIKLJ. BLAGOVICA;200;529;843;O;QLD-6;;CP Blagovica-LJ;390;1;313;6;30;9;9;22
AC;A1;0044;BLAGOVICA-LUKOVICA;0;8.830;834;O;QLD-6;;CP Kompolje;26.825;36;19.456;276;1.905;391;553;4.208
AC;A1;0044;LUKOVICA-KRTINA;8.830;12.465;;P;;;;27.500;18;20.132;275;1.930;395;560;4.190
AC;A1;0169;PRIKLJ. LUKOVICA;0;2.279;831;O;QLD-6;;CP Lukovica_Lj;950;2;853;1;49;12;11;22
AC;A1;0143;PRIKLJ. KRTINA;0;761;835;O;QLD-6;;CP Krtina-Lj;2.320;2;2.141;2;93;20;27;35
AC;A1;0045;KRTINA-DOMŽALE;0;3.485;;P;;;;29.200;20;21.330;180;1.950;520;760;4.440
AC;A1;0046;DOMŽALE-ŠENTJAKOB;0;5.402;830;O;QLD-6;;Pšata AC;42.562;85;33.492;187;3.077;535;747;4.439
AC;A1;0047;ŠENTJAKOB-SNEBERJE;0;1.170;;P;;;;55.450;95;45.175;200;3.900;800;800;4.480
AC;A1;0047;SNEBERJE-LJ(ZADOBRAVA);1.170;2.866;;P;;;;57.000;100;46.560;200;4.000;950;700;4.490
AC;A1;0048;LJ (ZADOBROVA-ZALOŠKA);0;1.330;;P;;;;75.000;85;65.145;170;4.500;900;1.000;3.200
AC;A1;0049;LJ (ZALOŠKA-LITIJSKA);0;1.277;;P;;;;63.000;55;53.955;160;3.900;930;960;3.040
AC;A1;0050;LJ (LITIJSKA-MALENCE);0;3.979;180;O;QLD-6;;V Obvoznica;57.358;88;48.448;150;3.701;993;996;2.982
AC;A1;0019;LJ(MALENCE - DOLENJSKA C.);0;456;;P;;;;59.500;110;49.680;240;3.650;850;970;4.000
AC;A1;0018;LJ DOLENJSKA - PERUZIJEVA;0;2.110;;P;;;;52.000;120;43.650;210;2.800;600;920;3.700
AC;A1;0018;PERUZIJEVA-BARJANSKA;2.110;3.943;178;O;QLD-6;;J Obvoznica;56.476;160;45.823;237;4.557;814;967;3.918
AC;A1;0017;LJ (BARJANSKA - VIČ);0;2.758;;P;;;;54.000;170;43.600;240;4.260;750;960;4.020
AC;A1;0016;LJ (VIČ - KOZARJE);0;794;;P;;;;63.800;210;52.240;300;4.800;910;1.140;4.200
AC;A1;0051;LJ(KOZARJE)-BREZOVICA;0;2.408;;P;;;;62.000;100;49.790;260;4.400;850;900;5.700
AC;A1;0052;BREZOVICA-VRHNIKA;0;12.424;800;O;QLD-3 BS;;CP Ljubljana;47.289;119;36.813;337;3.418;450;764;5.388
AC;A1;0150;PRIKLJ. VRHNIKA;0;1.381;804;O;QLD-3 BS;;CP Vrhnika;11.759;32;10.147;55;735;230;235;325
AC;A1;0053;VRHNIKA-LOGATEC;0;8.279;;P;;;;38.000;90;28.220;280;3.050;320;580;5.460
AC;A1;0151;PRIKLJ. LOGATEC;0;2.480;805;O;QLD-3 BS;;CP Logatec;5.188;48;4.010;8;560;190;45;327
AC;A1;0054;LOGATEC-UNEC;0;10.422;;P;;;;36.800;65;27.405;270;2.800;200;520;5.540
AC;A1;0152;PRIKLJ. UNEC;0;404;824;O;QLD-3 BS;;CP Unec-LJ;3.644;12;3.237;21;109;160;50;55
AC;A1;0152;PRIKLJ. UNEC;404;788;825;O;QLD-3 BS;;CP Unec-KP;1.269;3;1.001;11;54;105;55;40
AC;A1;0055;UNEC-POSTOJNA;0;11.375;822;O;QLD-6;;Ravbarkomanda AC;34.439;98;24.959;298;2.599;406;552;5.527
AC;A1;0153;PRIKLJ. POSTOJNA;0;900;826;O;QLD-3 BS;;CP Postojna-LJ;7.189;48;6.073;88;215;175;245;345
AC;A1;0153;PRIKLJ. POSTOJNA;900;1.178;827;O;QLD-3 BS;;CP Postojna-KP;1.942;17;1.629;28;70;100;58;40
AC;A1;0056;POSTOJNA-RAZDRTO;0;9.370;;P;;;;29.200;70;20.530;240;2.450;330;360;5.220
AC;A1;0056;RAZDRTO-NANOS;9.370;11.182;;P;;;;29.100;68;20.497;235;2.440;325;325;5.210
AC;A1;0197;PRIKLJ. RAZDRTO;0;250;828;O;QLD-6;;CP Razdrto-LJ;329;2;250;2;18;9;20;28
AC;A1;0197;PRIKLJ. RAZDRTO;250;698;829;O;QLD-6;;CP Razdrto-KP;225;0;189;1;7;3;5;20
AC;A1;0057;NANOS - SENOŽEČE;0;5.458;;P;;;;24.300;65;17.390;230;2.000;165;250;4.200
AC;A1;0155;PRIKLJ. SENOŽEČE;0;1.680;818;O;QLD-6;;CP Senožeče;1.257;2;1.008;5;90;27;33;92
AC;A1;0058;SENOŽEČE -  GABRK;0;4.384;812;O;QLD-6;;Čebulovica AC;23.666;61;17.166;222;1.620;236;235;4.126
AC;A1;0059;GABRK - DIVAČA;0;2.873;;P;;;;17.600;35;14.550;150;1.400;175;90;1.200
AC;A1;0157;PRIKLJ. DIVAČA;0;2.079;817;O;QLD-6;;CP Divača;1.417;4;1.163;15;93;33;49;60
AC;A1;0060;DIVAČA-KOZINA;0;6.940;2101;O;QLD-6;;Kozina AC;16.776;52;13.990;135;1.098;154;183;1.164
AC;A1;0060;KOZINA-CP VIDEŽ;6.940;7.151;820;O;QLD-6;;CP Videž;15.094;46;12.742;118;946;126;153;963
AC;A1;0158;PRIKLJ. KOZINA;0;700;821;O;QLD-6;;CP Kozina-LJ;1.682;7;1.247;17;151;28;31;201
AC;A1;0158;PRIKLJ. KOZINA;700;2.195;823;O;QLD-6;;CP Kozina-KP;1.087;5;802;7;85;21;22;145
AC;A1;0061;KOZINA-KASTELEC;0;8.470;2102;O;QLD-6;;Ravne AC;16.181;50;13.544;125;1.031;147;175;1.109
AC;A1;0061;KASTELEC-ČRNI KAL;8.470;11.818;;P;;;;20.200;50;17.000;120;1.350;200;370;1.110
AC;A1;0062;ČRNI KAL - SRMIN;0;7.116;803;O;QLD-6;;Dekani AC;21.123;92;17.668;114;1.461;243;385;1.160
AC;A2;0001;MP KARAVANKE-HRUŠICA;0;5.361;673;O;QLD-6;;MP Karavanke;6.604;17;5.157;81;370;93;90;796
AC;A2;0002;HRUŠICA-LIPCE;0;7.154;;P;;;;12.200;80;10.130;130;770;110;180;800
AC;A2;0003;LIPCE-LESCE;0;6.298;646;O;QLD-6;;Lipce AC;17.691;91;14.909;154;1.264;174;225;874
AC;A2;0103;ZAČASNI PRIKLJ. VRBA;0;382;;P;;;;17.700;90;14.915;155;1.265;175;225;875
AC;A2;1498;ZAČASNI PRIKLJUČEK LEŠNICA;0;76;;P;;;;28.480;135;24.320;270;1.850;355;455;1.095
AC;A2;0005;(BREZJE) LEŠNICA-PODTABOR;0;1.102;;P;;;;28.700;100;24.400;270;2.100;400;430;1.000
AC;A2;0006;PODTABOR-KRANJ Z;0;7.313;647;O;QLD-6;;Naklo AC;34.655;153;29.736;298;2.472;448;460;1.088
AC;A2;0007;KRANJ Z-KRANJ V;0;5.674;;P;;;;25.300;110;21.590;150;1.800;340;360;950
AC;A2;0008;KRANJ V - BRNIK;0;3.900;;P;;;;23.700;35;20.745;130;1.400;250;280;860
AC;A2;0009;BRNIK - VODICE;0;5.246;850;O;QLD-3 BS;;CP Torovo;22.214;63;18.888;170;1.593;250;300;950
AC;A2;0010;VODICE -LJ( ŠMARTNO);0;6.968;853;O;QLD-6;;Povodje AC;32.963;94;28.644;201;2.363;270;372;1.019
AC;A2;0011;LJ(ŠMARTNO -  BROD);0;2.374;;P;;;;37.900;120;33.310;220;2.500;330;390;1.030
AC;A2;0012;LJ(BROD-ŠENTVID);0;879;;P;;;;25.200;90;21.800;200;1.700;250;230;930
AC;A2;0014;LJ(KOSEZE - BRDO);0;1.859;170;O;;;;67.000;244;57.570;242;3.764;1.000;1.250;2.930
AC;A2;0015;LJ BRDO - KOZARJE;0;2.392;855;O;QLD-6;;Bokalce AC;63.970;221;53.815;252;4.898;734;1.108;2.942
AC;A2;0020;LJ(MALENCE)-ŠMARJE-SAP;0;6.038;645;O;QLD-6;;Šmarje Sap AC;46.117;93;39.547;263;3.166;483;568;1.997
AC;A2;0407;PRIKLJ. ŠMARJE-SAP NM;0;926;876;O;QLD-5;;Priključek Šmarje Sap_NM;2.281;9;1.991;20;130;65;33;33
AC;A2;0021;ŠMARJE SAP-CIKAVA;0;1.780;2303;O;QLD-5;;Cikava AC;48.328;97;41.066;283;3.703;501;647;2.031
AC;A2;0021;CIKAVA-GROSUPLJE;1.780;3.873;;P;;;;35.500;60;29.650;200;2.800;400;490;1.900
AC;A2;0022;GROSUPLJE-VIŠNJA GORA;0;7.050;;P;;;;30.600;50;25.380;190;2.600;350;180;1.850
AC;A2;0022;VIŠNJA GORA-IVANČNA GORICA;7.050;13.061;601;O;QLD-6;;Višnja Gora AC;31.882;73;26.586;228;2.397;352;455;1.791
AC;A2;0023;IVANČNA GORICA-BIČ;0;6.889;870;O;QLD-6;;CP Dob;18.354;28;15.071;257;1.067;178;197;1.556
AC;A2;0072;BIČ-PLUSKA (TREBNJE);0;6.909;;P;;;;21.149;35;17.198;293;1.337;262;408;1.616
AC;A2;0024;(TREBNJE) HRASTJE-NM PRIKLJ. Z;0;3.900;;P;;;;19.786;39;16.263;201;1.264;187;290;1.542
AC;A2;0024;NM PRIKLJ. Z - NM PRIKLJ. V;3.900;6.208;;P;;;;16.750;30;13.820;110;900;110;280;1.500
AC;A2;0025;NM PRIKLJ.V- LEŠNICA (KRONOVO);0;1.915;;P;;;;19.371;57;15.729;234;1.223;286;444;1.398
AC;A2;0026;KRONOVO - DOBRUŠKA VAS;0;4.934;602;O;QLD-6;;Draga AC;17.335;35;14.073;203;1.208;207;217;1.392
AC;A2;0027;DOBRUŠKA VAS - SMEDNIK;0;5.900;;P;;;;15.500;30;12.500;210;1.000;220;220;1.320
AC;A2;0027;SMEDNIK - PRIKLJUČEK DRNOVO;5.900;13.500;2301;O;QLD-6;;Zaloke AC;13.266;22;10.632;200;784;164;185;1.279
AC;A2;0027;PRIKLJUČEK DRNOVO - DRNOVO;13.500;13.654;871;O;QLD-6;;CP Drnovo;10.145;17;8.201;186;537;78;70;1.056
AC;A2;0418;PRIKLJ. DRNOVO;0;2.300;873;O;QLD-6;;CP Krško-NM;3.121;6;2.431;14;247;86;115;222
AC;A2;0418;PRIKLJ. DRNOVO;2.300;2.844;874;O;QLD-6;;CP Krško-Čatež;1.007;3;846;8;51;9;12;78
AC;A2;0028;DRNOVO - BREŽICE;0;11.717;2302;O;QLD-6;;Brežice AC;11.151;20;9.046;194;588;87;82;1.134
AC;A2;0029;BREŽICE - PRIKLj. OBREŽJE;0;7.020;512;O;QLD-6;;Čatež AC;12.272;26;10.151;170;680;63;61;1.121
AC;A2;0029;PRIKLJ. OBREŽJE-OBREŽJE TERMINAL;7.020;7.850;;P;;;;10.400;30;8.552;168;430;60;60;1.100
AC;A2;0029;OBREŽJE TERMINAL - MP OBREŽJE;7.850;8.534;511;O;QLD-6;;MP Obrežje;8.964;32;7.315;166;339;40;56;1.016
AC;A3;0068;GABRK-SEŽANA V;0;7.977;813;O;QLD-3 BS;;CP Dane;10.193;36;6.131;134;582;96;120;3.094
AC;A3;0069;SEŽANA V - SEŽANA Z;0;2.698;;P;;;;9.900;30;5.895;130;540;90;115;3.100
AC;A3;0070;SEŽANA Z - FERNETIČI;0;1.270;863;O;QLD-6;;Sežana AC;8.868;31;5.334;117;506;83;105;2.692
AC;A3;0070;FERNETIČI-MP FERNETIČI;1.270;1.571;653;O;QLD-6;;MP Fernetiči;13.296;76;8.902;128;673;116;145;3.256
AC;A3;0486;PRIKLJ. FERNETIČI;0;643;864;O;QLD-6;;Priključek Fernetiči;3.997;43;3.555;11;160;27;35;166
AC;A5;0810;VUČJA VAS-MURSKA SOBOTA;0;6.212;841;O;QLD-6;;Vučja vas AC;6.079;17;2.324;27;316;123;213;3.059
AC;A5;0811;MURSKA SOBOTA-LIPOVCI;0;3.798;;P;;;;7.100;16;3.555;30;249;100;150;3.000
HC;H1;1462;ČRNIVEC-LEŠNICA;0;4.642;50;O;QLD-6;;Lešnica;28.480;134;24.322;272;1.851;354;454;1.093
HC;H1;0220;PLUSKA-TREBNJE;0;3.505;55;O;QLD-5;;Trebnje 2;21.149;35;17.198;293;1.337;262;408;1.616
HC;H1;0221;TREBNJE-KARTELJEVO;0;11.380;634;O;QLD-6;;Trebnje;19.786;39;16.263;201;1.264;187;290;1.542
HC;H1;1472;LEŠNICA - OTOČEC;0;2.960;400;O;QLD-5;;Otočec;19.371;57;15.729;234;1.223;286;444;1.398
HC;H1;0224;OTOČEC-KRONOVO;0;3.051;;P;;;;17.335;35;14.073;203;1.208;207;217;1.392
HC;H2;0032;PESNICA-MARIBOR;0;4.516;16;O;QLD-6;;Meljska HC;36.023;106;27.304;257;2.246;399;740;4.971
HC;H2;0033;MB(MELJSKA)-POBREŽJE;0;1.470;;P;;;;45.400;100;36.440;260;2.300;500;800;5.000
HC;H2;0033;POBREŽJE-MB(TEZNO);1.470;2.684;15;O;QLD-6;;Maribor HC;48.874;126;39.108;257;2.756;609;929;5.089
HC;H3;0085;LJ(ZADOBROVA-ŠMARTINSKA);0;1.511;179;O;QLD-6;;SV Obvoznica;64.052;119;55.877;145;3.928;682;967;2.334
HC;H3;0086;LJ(ŠMARTINSKA-TOMAČEVO);0;2.084;;P;;;;68.000;140;59.200;160;4.200;900;1.100;2.300
