Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Tip pr. odseka;Tip avt. števca;Leto roč. (avt.) štetja;Ime števnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tež. tov. nad 7t;Tov. s prik.;
AC;A1;0150;PRIKLJ. VRHNIKA;0;1.381;804;O;QLD3; ;CP Vrhnika;11.085;30;9.688;50;800;188;111;218;
AC;A1;0053;VRHNIKA-LOGATEC;0;8.279;800;P; ; ; ;31.500;112;25.160;204;1.934;410;430;3.250;
AC;A1;0151;PRIKLJ. LOGATEC;0;2.480;805;O;QLD3; ;CP Logatec;3.844;36;3.185;53;226;116;78;150;
AC;A1;0054;LOGATEC-UNEC;0;10.422;800;P; ; ; ;29.800;100;23.766;188;1.772;378;396;3.200;
AC;A1;0152;PRIKLJ. UNEC;0;404;824;O;QLD3; ;CP Unec-LJ;3.144;10;2.807;18;95;154;12;48;
AC;A1;0152;PRIKLJ. UNEC;404;788;825;O;QLD3; ;CP Unec-KP;969;3;771;8;42;103;8;34;
AC;A1;0055;UNEC-POSTOJNA;0;11.375;822;O;QLD6; ;Ravbarkomanda AC;27.632;88;21.414;260;1.818;384;430;3.238;
AC;A1;0153;PRIKLJ. POSTOJNA;0;900;826;O;QLD3; ;CP Postojna-LJ;6.468;44;5.487;80;195;150;212;300;
AC;A1;0153;PRIKLJ. POSTOJNA;900;1.178;827;O;QLD3; ;CP Postojna-KP;1.478;11;1.273;18;44;66;39;27;
AC;A1;0056;POSTOJNA-RAZDRTO;0;11.182;820;P; ; ; ;22.600;70;17.094;248;1.732;244;212;3.000;
AC;A1;0197;PRIKLJ. RAZDRTO;0;250;828;O;QLD6; ;CP Razdrto-LJ;237;1;176;2;10;6;12;30;
AC;A1;0197;PRIKLJ. RAZDRTO;250;698;829;O;QLD6; ;CP Razdrto-KP;178;1;159;1;5;2;2;8;
AC;A1;0057;RAZDRTO - SENOŽEČE;0;5.458;812;P; ; ; ;18.500;56;14.808;216;1.348;280;192;1.600;
AC;A1;0155;PRIKLJ. SENOŽEČE;0;1.680;818;O;QLD6; ;CP Senožeče;1.143;2;886;5;72;31;31;116;
AC;A1;0058;SENOŽEČE -  GABRK;0;4.384;812;O;QLD6; ;Čebulovica AC;17.458;54;14.314;174;1.146;182;148;1.440;
AC;A1;0059;GABRK - DIVAČA;0;2.873;812;P; ; ; ;12.000;60;9.992;76;850;316;146;560;
AC;A1;0157;PRIKLJ. DIVAČA;0;2.079;817;O;QLD6; ;CP Divača;929;3;815;12;59;14;8;18;
AC;A1;0060;DIVAČA-KOZINA;0;7.151;820;P; ; ; ;12.900;46;11.140;88;800;156;100;570;
AC;A1;0158;PRIKLJ. KOZINA;0;700;821;O;QLD6; ;CP Kozina-LJ;1.716;7;1.316;16;146;29;19;183;
AC;A1;0158;PRIKLJ. KOZINA;700;2.195;823;O;QLD6; ;CP Kozina-KP;532;4;449;3;42;8;6;20;
AC;A1;0061;KOZINA-KLANEC(ČRNI KAL);0;3.894;820;O;QLD6; ;CP Videž;11.120;38;9.772;72;654;106;90;388;
AC;A1;0236;KRIŽ. DEKANI-BERTOKI;0;2.146;11;P; ; ; ;46.000;250;41.660;230;2.152;568;380;760;
AC;A1;0237;BERTOKI-KP(ŠKOCJAN);0;2.463;11;O;QLD6; ;Bertoki AC;46.510;288;42.130;236;2.180;520;392;764;
AC;A2;0001;MP KARAVANKE-HRUŠICA;0;5.361;673;O;;x;MP Karavanke;6.100;30;4.818;100;422;80;100;550;
AC;A2;0002;HRUŠICA-LIPCE;0;7.154;646;P; ; ; ;14.700;76;12.620;128;946;192;148;590;
AC;A2;0003;LIPCE-LESCE;0;6.298;646;O;QLD6; ;Lipce AC;16.852;78;14.424;164;1.152;196;192;646;
AC;A2;0103;ZAČASNI PRIKLJ. VRBA;0;382;646;P; ; ; ;16.852;80;14.427;160;1.150;195;190;650;
AC;A2;1498;ZAČASNI PRIKLJUČEK LEŠNICA;0;76;50;P; ; ; ;26.209;11;22.981;330;1.537;347;253;750;
AC;A2;0005;(BREZJE) LEŠNICA-PODTABOR;0;1.102;50;P; ; ; ;26.208;12;22.980;330;1.536;348;252;750;
AC;A2;0006;PODTABOR-KRANJ Z;0;7.313;647;O;QLD6; ;Naklo AC;31.776;118;27.664;296;2.176;374;364;784;
AC;A2;0007;KRANJ Z-KRANJ V;0;5.674;647;P; ; ; ;19.500;92;17.030;158;1.096;354;220;550;
AC;A2;0008;KRANJ V - BRNIK;0;3.900;850;P; ; ; ;17.900;48;15.724;102;1.120;254;152;500;
AC;A2;0009;BRNIK - VODICE;0;5.246;850;O;QLD3; ;CP Torovo;18.708;76;16.526;180;1.116;150;160;500;
AC;A2;0010;VODICE -LJ( ŠMARTNO);0;6.968;853;O;QLD6; ;Povodje AC;28.500;80;25.586;188;1.668;214;204;560;
AC;A2;0011;LJ(ŠMARTNO -  BROD);0;2.374;853;P; ; ; ;28.800;68;26.072;140;1.484;276;160;600;
AC;A2;0012;LJ(BROD-ŠENTVID);0;879;853;P; ; ; ;25.400;56;22.890;118;1.320;264;152;600;
AC;A2;0014;LJ(KOSEZE - BRDO);0;1.859;170;O;QLD6; ;Z Obvoznica;65.452;156;57.394;280;4.072;952;694;1.904;
AC;A2;0015;LJ(BRDO - KOZARJE);0;2.392;170;P; ; ; ;58.500;128;50.514;218;3.766;1.058;816;2.000;
AC;A2;0020;LJ(MALENCE)-ŠMARJE-SAP;0;6.296;645;O;QLD6; ;Šmarje Sap AC;41.216;60;35.644;248;2.508;556;552;1.648;
AC;A2;0021;ŠMARJE SAP-GROSUPLJE;0;3.873;645;P; ; ; ;39.000;88;32.848;240;2.538;1.180;506;1.600;
AC;A2;0022;GROSUPLJE-IVANČNA GORICA;0;13.061;601;O;QLD6; ;Višnja Gora AC;28.428;48;23.944;218;1.858;408;428;1.524;
AC;A2;0023;IVANČNA GORICA-BIČ;0;6.889;870;O;QLD6; ;CP Dob;16.008;20;13.278;228;890;200;184;1.208;
AC;A2;0072;BIČ-KORENITKA (TREBNJE);0;4.122;870;P; ; ; ;19.500;28;16.004;262;1.300;296;210;1.400;
AC;A3;0068;GABRK-SEŽANA V;0;7.977;813;O;QLD3; ;CP Dane;6.588;30;4.614;94;500;70;80;1.200;
AC;A3;0069;SEŽANA V - SEŽANA Z;0;2.698;653;P; ; ; ;8.300;32;6.160;224;580;112;92;1.100;
AC;A3;0070;SEŽANA Z - FERNETIČI;0;1.571;653;O;QLD3; ;MP Fernetiči;7.220;28;6.584;168;440;0;0;0;
AC;A3;0372;KAMIONSKA C.FERNETIČI;0;2.724;656;O;QLD6; ;MP Fernetiči-kam. cesta;1.599;0;0;0;43;52;55;1.449;
AC;A5;0810;VUČJA VAS-MURSKA SOBOTA;0;6.212;841;O;QLD6; ;Vučja vas AC;3.760;10;1.856;30;174;78;132;1.480;
AC;A5;0811;MURSKA SOBOTA-LIPOVCI;0;3.798;841;P; ; ; ;3.400;14;1.438;72;212;72;112;1.480;
HC;H1;1462;ČRNIVEC-LEŠNICA;0;4.642;50;O;QLD6; ;Lešnica;26.209;95;22.953;291;1.556;334;230;750;
HC;H1;0220;KORENITKA-TREBNJE;0;6.373;55;O;;02x4;Trebnje 1;19.500;26;15.982;200;1.300;292;300;1.400;
HC;H1;0221;TREBNJE-KARTELJEVO;0;14.730;634;O;QLD6; ;Trebnje;17.595;29;14.390;195;1.121;229;307;1.324;
HC;H1;0222;KARTELJEVO-MAČKOVEC;0;4.025;634;P; ; ; ;10.000;17;8.040;90;729;100;174;850;
HC;H1;0223;MAČKOVEC-OTOČEC;0;4.200;634;P; ; ; ;17.000;24;13.858;141;1.157;382;278;1.160;
HC;H1;0224;OTOČEC-DOBRUŠKA VAS;0;8.025;602;O;QLD6; ;Draga AC;15.686;28;12.746;198;1.003;252;296;1.163;
HC;H1;0225;DOBRUŠKA VAS-SMEDNIK;0;6.165;602;P; ; ; ;15.000;24;12.226;161;856;340;243;1.150;
HC;H1;0226;SMEDNIK-DRNOVO;0;7.475;602;P; ; ; ;15.500;25;12.725;161;856;340;243;1.150;
HC;H1;0227;DRNOVO-ČATEŽ;0;11.440;58;O;QLD6; ;Drnovo;11.310;21;8.943;175;597;177;297;1.100;
HC;H1;0228;ČATEŽ-MOKRICE;0;6.955;512;O;QLD6; ;Čatež AC;11.533;0;9.525;158;549;100;203;998;
HC;H1;0229;MOKRICE-OBREŽJE;0;2.020;511;O;; ;;8.000;17;6.422;152;292;59;68;990;
HC;H2;0032;PESNICA-MARIBOR;0;4.588;16;O;QLD6; ;Meljska HC;32.716;92;26.960;264;1.776;492;448;2.684;
HC;H2;0033;MARIBOR-TEZNO;0;2.634;15;O;QLD6; ;Maribor HC;46.364;92;39.724;258;2.188;644;672;2.786;
HC;H3;0085;LJ(ZADOBROVA-ŠMARTINSKA);0;1.511;179;O;QLD6; ;SV Obvoznica;59.172;92;52.462;124;3.246;792;936;1.520;
HC;H3;0086;LJ(ŠMARTINSKA-TOMAČEVO);0;2.084;174;P; ; ; ;65.000;110;57.638;122;3.394;1.100;836;1.800;
HC;H3;0088;LJ(TOMAČEVO - DUNAJSKA);0;1.238;174;P; ; ; ;69.000;132;61.824;144;3.500;1.200;700;1.500;
HC;H3;0089;LJ(DUNAJSKA - CELOVŠKA);0;2.654;174;O;QLD6; ;S Obvoznica;56.398;88;49.954;90;3.172;778;776;1.540;
HC;H3;0090;LJ(CELOVŠKA - KOSEZE);0;1.900;170;P; ; ; ;67.000;146;58.274;248;4.312;1.210;934;1.876;
HC;H4;0375;VIPAVA-AJDOVŠČINA;0;6.536;635;P; ; ; ;10.700;26;7.622;30;720;784;218;1.300;
HC;H4;0376;AJDOVŠČINA-SELO;0;9.174;635;O;QLD6; ;Ajdovščina HC;10.616;20;8.110;32;656;264;232;1.302;
HC;H4;0378;SELO - VOGRSKO;0;6.726;816;O;QLD6; ;Selo HC;10.044;20;7.636;60;652;216;168;1.292;
HC;H4;0379;VOGRSKO-ŠEMPETER;0;4.776;815;O;QLD3; ;CP Bazara;2.918;8;1.580;50;236;32;12;1.000;
HC;H4;0380;ŠEMPETER-MP VRTOJBA;0;2.238;671;O;QLD3; ;MP Vrtojba;4.948;6;4.350;44;548;0;0;0;
HC;H4;1467;KAMIONSKA CESTA VRTOJBA;0;2.148;671;B;QLD3; ;MP Vrtojba;1.664;0;0;0;0;70;90;1.504;
G1;1;0240;MP VIČ-DRAVOGRAD;0;3.590;663;O;QLD6; ;MP Vič;1.292;33;1.031;6;67;18;13;124;
G1;1;0241;DRAVOGRAD-RADLJE;0;16.358;60;O;QLD6; ;Gortina;6.994;51;6.090;60;388;127;102;176;
G1;1;0242;RADLJE;0;2.350;60;P; ; ; ;8.500;36;7.536;82;408;150;102;186;
G1;1;0243;RADLJE-BREZNO;0;9.068;605;O;QLD3; ;Brezno;4.665;29;3.936;55;300;110;90;145;
G1;1;0244;BREZNO-RUTA;0;9.569;605;P; ; ; ;5.100;20;4.390;59;286;110;90;145;
G1;1;0245;RUTA-SELNICA;0;10.500;600;O;QLD6; ;Zgornji Boč;4.808;34;4.102;58;284;104;82;144;
G1;1;0245;SELNICA-MB(OTOK);10.500;20.120;61;O;QLD6; ;Brestrnica;8.890;37;7.969;80;364;151;123;166;
G1;1;0245;MB(OTOK)-MB(KOROŠKI MOST);20.120;20.688;61;P; ; ; ;13.000;37;11.746;127;500;261;171;158;
G1;1;1468;MB( KOR. MOST-TRŽAŠKA);0;4.760;706;P; ; ; ;20.000;29;18.204;250;900;277;140;200;
G1;1;0246;MB(TRŽAŠKA)-MIKLAVŽ;0;3.745;15;P; ; ; ;36.900;59;33.064;400;1.476;430;271;1.200;
G1;1;1400;MB(AC)-MIKLAVŽ;0;3.000;606;P; ; ; ;25.000;45;22.605;200;650;250;200;1.050;
G1;1;1400;MIKLAVŽ-HAJDINA;3.000;17.035;606;O;QLD6; ;Starše;16.453;37;14.149;192;765;189;185;936;
G1;2;1290;SL.BISTRICA-PRAGERSKO;0;7.300;196;O;QLD6; ;Devina;7.713;21;6.202;38;488;219;231;514;
G1;2;1290;PRAGERSKO-KIDRIČEVO;7.300;17.500;640;O;QLD6; ;Šikole;6.115;23;4.687;41;441;193;208;522;
G1;2;1290;KIDRIČEVO-HAJDINA;17.500;20.060;639;O;QLD6;04x1;Zgornja Hajdina;11.657;30;9.815;78;627;289;284;534;
G1;2;0247;HAJDINA-PTUJ;0;2.070;637;O;QLD6; ;Ptuj Zahod;19.905;47;17.103;164;967;419;405;800;
G1;2;0248;PTUJ;0;1.025;637;P; ; ; ;28.000;54;25.066;250;1.000;546;294;790;
G1;2;0249;PTUJ-SPUHLJA;0;3.020;638;O;QLD6; ;Ptuj Vzhod;11.825;36;10.015;112;601;203;242;616;
G1;2;0250;SPUHLJA-ORMOŽ;0;17.688;62;O;QLD6; ;Cvetkovci;6.161;24;5.154;40;346;116;155;326;
G1;2;0398;ORMOŽ Z - ORMOŽ V;0;3.020;62;P; ; ; ;4.800;15;3.924;40;268;130;93;330;
G1;2;1313;ORMOŽ-SREDIŠČE OB DRAVI;0;9.000;355;O;QLD6; ;Grabe;2.788;10;2.427;14;121;44;42;130;
G1;2;1313;SREDIŠČE OB DRAVI - MP SRED.;9.000;11.865;522;O;QLD3; ;MP Središče ob Dravi;973;5;659;9;100;35;35;130;
G1;3;0314;PESNICA-LENART;0;14.520;84;O;QLD6; ;Močna;14.579;36;11.594;139;734;246;257;1.573;
G1;3;0315;LENART-GORNJA RADGONA;0;17.558;85;O;QLD6; ;Ihova;8.139;26;5.499;97;493;167;270;1.587;
G1;3;0316;GORNJA RADGONA;0;1.942;86;P; ; ; ;12.500;32;9.768;136;514;190;270;1.590;
G1;3;0366;GORNJA RADGONA-RADENCI;0;5.640;86;O;QLD6; ;Šratovci;11.420;38;8.582;133;581;208;273;1.605;
G1;3;1164;RADENCI;0;374;352;P; ; ; ;8.000;19;5.839;72;308;156;106;1.500;
G1;3;1308;RADENCI-VUČJA VAS;0;7.796;352;O;QLD6; ;Radenci;6.059;27;3.965;50;253;109;137;1.518;
G1;3;1397;LIPOVCI-BRATONCI;0;1.485;146;O;QLD6; ;Lipovci;14.067;28;11.584;114;473;208;167;1.493;
G1;3;0320;BRATONCI-BELTINCI;0;2.250;87;P; ; ; ;10.000;15;7.623;152;403;257;100;1.450;
G1;3;0321;BELTINCI-ČRENŠOVCI;0;5.800;87;O;QLD6; ;Odranci;5.987;18;4.098;58;222;89;102;1.400;
G1;3;0369;ČRENŠOVCI;0;420;88;P; ; ; ;6.400;24;4.297;92;296;180;111;1.400;
G1;3;0322;ČRENŠOVCI-D.LAKOŠ;0;14.050;88;O;QLD6; ;Hotiza;6.186;15;4.061;59;277;112;123;1.539;
G1;3;0815;D.LAKOŠ-RONDO DOLGA VAS;0;4.670;685;O;QLD6; ;Lendavska obvoznica;3.278;11;1.520;16;98;45;82;1.506;
G1;3;1453;DOLGA VAS-MP DOLGA VAS;0;2.520;141;O;QLD3; ;MP Dolga vas;3.376;8;1.700;6;47;50;65;1.500;
G1;4;1257;DRAVOGRAD-OTIŠKI VRH;0;1.370;131;P; ; ; ;12.400;62;11.014;114;528;310;172;200;
G1;4;1258;OTIŠKI VRH-SL.GRADEC;0;9.170;131;O;QLD6; ;Bukovska vas;9.806;54;8.453;84;530;160;240;285;
G1;4;1445;SL.GRADEC;0;1.910;131;P; ; ; ;12.000;99;10.500;100;612;245;184;260;
G1;4;1259;SL.GRADEC-LUŽNIK;0;6.600;329;O;QLD6; ;Šmartno SG;11.577;66;10.229;88;570;215;164;245;
G1;4;1259;LUŽNIK-ZG.DOLIČ;6.600;13.072;621;O;QLD6; ;Mislinja;8.140;50;6.933;77;482;184;163;251;
G1;4;1260;ZG.DOLIČ-VELENJE;0;11.375;621;P; ; ; ;7.500;26;6.216;92;542;264;110;250;
G1;4;1261;VELENJE-ČRNOVA;0;7.427;132;O;QLD6; ;Črnova;15.711;51;13.814;105;839;281;229;392;
G1;4;1262;ČRNOVA-ARJA VAS;0;7.020;133;O;QLD6; ;Velika Pirešica;12.407;41;10.304;91;739;390;409;433;
G1;4;1448;ARJA VAS-ŽALEC;0;1.820;70;O;;04x4;Žalec;7.838;40;6.653;65;501;335;108;136;
G1;5;1469;ARJA VAS;0;2.490;130;O;QLD6;98x4;Arja vas;5.703;46;5.202;38;267;90;37;23;
G1;5;0286;ARJA VAS- CELJE;0;6.560;69;O;QLD6; ;Drešinja vas;16.432;64;15.037;169;667;266;136;93;
G1;5;0328;CELJE-CE(POLULE);0;2.000;90;P; ; ; ;17.900;48;16.023;81;731;393;214;410;
G1;5;0328;CE(POLULE)-LAŠKO;2.000;11.000;90;O;QLD6; ;Košnica;12.979;46;11.433;55;650;218;209;368;
G1;5;0328;LAŠKO-ŠMARJETA;11.000;17.325;90;P; ; ; ;9.200;31;8.186;43;398;189;103;250;
G1;5;0329;ŠMARJETA-RIMSKE TOPLICE;0;1.050;91;O;QLD6; ;Rimske Toplice;6.310;26;5.350;49;367;149;132;237;
G1;5;0330;RIM.TOPLICE-ZIDANI MOST;0;6.750;91;P; ; ; ;6.000;27;5.173;43;291;163;103;200;
G1;5;0331;ZIDANI MOST-RADEČE;0;2.997;92;O;;04x4;Radeče;6.887;23;5.755;31;506;250;100;222;
G1;5;0360;RADEČE;0;520;92;P; ; ; ;7.000;26;5.877;38;522;183;124;230;
G1;5;0332;RADEČE-BOŠTANJ;0;11.270;101;O;QLD3; ;Vrhovo;4.790;47;3.914;31;335;143;108;212;
G1;5;0333;BOŠTANJ;0;790;101;P; ; ; ;4.800;20;4.037;25;280;136;102;200;
G1;5;0334;BOŠTANJ-IMPOLJCA;0;4.490;630;P; ; ; ;4.400;20;3.662;24;259;134;101;200;
G1;5;0335;IMPOLJCA-BRESTANICA;0;9.790;630;O;QLD6; ;Log pri Sevnici;4.508;24;3.708;31;295;120;119;211;
G1;5;0361;BRESTANICA-KRŠKO;0;3.900;103;O;QLD6; ;Krško;9.849;31;8.209;67;471;274;389;408;
G1;5;0336;KRŠKO-DRNOVO;0;4.630;95;O;QLD6; ;Žadovinek;10.644;41;8.880;46;565;297;337;478;
G1;5;0337;DRNOVO;0;540;95;P; ; ; ;10.600;38;9.027;47;520;290;208;470;
G1;6;0338;POSTOJNA-PIVKA;0;10.260;82;O;QLD6; ;Prestranek;10.713;82;9.576;82;479;156;105;233;
G1;6;0339;PIVKA-RIBNICA;0;9.945;615;O;QLD6; ;Ribnica;3.440;53;2.907;38;201;47;45;149;
G1;6;0340;RIBNICA-PREM;0;4.215;615;P; ; ; ;4.000;43;3.393;43;191;80;50;200;
G1;6;0341;PREM-IL.BISTRICA;0;6.210;615;P; ; ; ;4.500;49;3.842;48;215;90;56;200;
G1;6;0342;IL.BISTRICA;0;1.160;83;P; ; ; ;6.500;30;5.875;66;227;93;34;175;
G1;6;0363;IL.BISTRICA;0;1.470;83;P; ; ; ;11.000;29;10.378;68;226;92;33;174;
G1;6;0343;IL.BISTRICA-JELŠANE;0;8.500;83;O;QLD6; ;Koseze;7.113;74;6.435;63;295;85;56;105;
G1;6;0343;JELŠANE - MP JELŠANE;8.500;10.000;504;O;QLD6; ;MP Jelšane;4.731;88;4.197;54;228;44;18;102;
G1;7;0356;MP STAROD-PODGRAD;0;6.561;503;O;QLD3; ;MP Starod;4.040;56;3.639;40;25;40;20;220;
G1;7;0355;PODGRAD-OBROV;0;5.900;503;P; ; ; ;6.200;64;5.386;50;180;150;50;320;
G1;7;0354;OBROV-KOZINA;0;14.500;604;O;QLD6; ;Gradišče;6.348;71;5.406;60;301;78;45;387;
G1;7;0353;KOZINA-MP KRVAVI POTOK;0;3.340;652;O;QLD6; ;MP Krvavi Potok;4.968;78;4.300;37;230;40;23;260;
G1;8;0207;VRBA-LESCE;0;1.407;646;P; ; ; ;20.500;101;17.820;172;1.287;340;206;574;
G1;8;0208;LESCE-ČRNIVEC;0;6.480;632;O;QLD6; ;Radovljica;26.402;104;23.259;307;1.421;304;284;723;
G1;8;0213;LJ(ŠENTVID - OBVOZNICA);0;2.900;725;O;QLD6; ;LJ Celovška Dravlje;58.968;138;53.072;769;2.744;647;595;1.003;
G1;9;0352;HAJDINA-JUROVCI;0;6.040;682;P; ; ; ;10.900;27;9.279;165;515;118;96;700;
G1;9;0362;JUROVCI;0;1.000;682;P; ; ; ;10.700;28;9.194;150;428;108;86;706;
G1;9;0351;JUROVCI-PODLEHNIK;0;4.200;682;O;QLD6; ;Jurovci;9.942;23;8.469;135;451;95;81;688;
G1;9;0351;PODLEHNIK - MP GRUŠKOVJE;4.200;11.052;518;O;QLD3; ;MP Gruškovje;7.835;30;6.485;100;400;90;50;680;
G1;10;0292;TROJANE-BLAGOVICA;0;9.351;72;O;QLD6; ;Trojane;22.585;57;16.972;191;1.528;548;705;2.584;
G1;10;1499;KLANEC-KASTELEC;0;5.190;614;O;QLD6; ;Petrinje;16.900;130;14.177;123;1.067;249;264;890;
G1;10;0312;KASTELEC-RIŽANA;0;6.230;614;P; ; ; ;17.000;119;14.316;128;1.094;343;214;786;
G1;10;0313;RIŽANA-KRIŽ.DEKANI;0;5.900;79;O;QLD6; ;Dekani;19.178;129;15.946;134;1.140;343;601;885;
G1;11;0235;MP ŠKOFIJE-ŠKOFIJE;0;1.000;651;O;QLD3; ;MP Škofije;11.276;141;10.221;89;550;61;44;170;
G1;11;0235;ŠKOFIJE-KRIŽ. DEKANI;1.000;3.545;686;O;QLD6; ;Sp Škofije;18.440;142;17.064;104;643;143;161;183;
G1;11;1062;KOPER-ŠMARJE;0;6.000;149;O;QLD6; ;Koper;12.480;114;11.580;43;523;103;41;76;
G1;11;1062;ŠMARJE-DRAGONJA;6.000;13.650;150;O;QLD6; ;Pesjanci;8.142;114;7.482;41;354;54;29;68;
G1;11;1062;DRAGONJA-MP DRAGONJA;13.650;14.665;14;O;QLD3; ;MP Dragonja;5.638;36;5.308;9;200;15;10;60;
G1;11;1475;SLAVČEK- KOPER;0;700;11;P; ; ; ;31.000;100;27.145;170;1.485;600;700;800;
G1;11;1475;KOPER-LUKA KOPER;700;2.275;11;P; ; ; ;9.000;40;6.318;190;802;300;650;700;
G1;12;0344;RAZDRTO;0;50;819;O;QLD6; ;CP Nanos;5.775;9;3.683;59;406;158;134;1.326;
G1;12;0344;RAZDRTO-MANČE;50;11.641;644;O;QLD6; ;Podgrič;7.077;30;4.597;51;465;214;243;1.477;
G1;12;0345;MANČE-VIPAVA;0;1.375;635;P; ; ; ;8.000;21;5.499;59;459;245;277;1.440;
G2;101;0232;MP LJUBELJ-BISTRICA(TRŽIČ);0;12.500;660;O;QLD6; ;MP Ljubelj;1.905;10;1.799;9;67;20;0;0;
G2;101;0231;BISTRICA(TRŽIČ)-ZVIRČE;0;3.280;3;O;QLD6; ;Kovor;8.198;43;7.558;20;391;85;67;34;
G2;101;0230;ZVIRČE-PODTABOR;0;1.455;3;P; ; ; ;8.200;61;7.524;22;395;98;65;35;
G2;102;1031;MP ROBIČ-STARO SELO;0;5.630;655;O;QLD3; ;MP Robič;740;0;724;3;3;10;0;0;
G2;102;1030;STARO SELO-KOBARID;0;3.320;212;O;;00x4;Kobarid;2.400;25;2.205;13;71;43;36;7;
G2;102;1005;KOBARID-IDRSKO;0;2.200;679;O;QLD6; ;Idrsko;3.959;91;3.500;20;197;70;47;34;
G2;102;1006;IDRSKO-PRŠETI;0;11.525;97;O;;04x4;Idrsko;3.584;153;2.931;29;273;119;33;46;
G2;102;1040;PERŠETI-MOST NA SOČI;0;7.417;405;O;QLD6; ;Prapetno;4.329;57;3.864;26;192;95;68;27;
G2;102;1039;MOST NA SOČI-BAČA;0;2.205;405;P; ; ; ;3.500;22;3.066;35;200;87;60;30;
G2;102;1038;BAČA-DOL. TREBUŠA;0;8.550;104;O;;03x4;Idrija pri Bači;3.000;53;2.647;34;100;91;41;34;
G2;102;1037;DOL TREBUŠA-ŽELIN;0;13.118;406;O;QLD6; ;Stopnik;1.591;36;1.309;17;106;46;43;34;
G2;102;1036;ŽELIN-SPODNJA IDRIJA(MAROF);0;11.300;447;O;;03x4;Želin 3;2.500;27;2.140;40;162;64;30;37;
G2;102;1035;SPODNJA IDRIJA;0;1.900;617;P; ; ; ;2.900;21;2.536;33;156;83;27;44;
G2;102;1034;SP. IDRIJA-GODOVIČ;0;13.277;617;O;QLD6; ;Idrija;4.069;25;3.545;43;247;89;61;59;
G2;102;1033;GODOVIČ-KALCE;0;11.233;100;O;QLD6; ;Hotedršica;3.811;51;3.174;44;239;102;87;114;
G2;102;1460;KALCE-LOGATEC;0;3.490;74;O;;03x4;Kalce;9.000;177;7.631;109;510;320;70;183;
G2;102;1461;LOGATEC;0;1.672;395;O;;03x4;Logatec;4.700;16;3.879;37;355;154;64;195;
G2;103;1007;PERŠETI-UŠNIK;0;4.080;616;P; ; ; ;3.300;36;2.712;24;191;171;99;67;
G2;103;1008;UŠNIK-PLAVE;0;20.070;616;O;QLD6; ;Doblar;3.351;59;2.866;21;187;90;67;61;
G2;103;1009;PLAVE-SOLKAN;0;10.070;99;O;QLD6; ;Solkan;6.558;66;5.798;28;285;116;91;174;
G2;103;1010;SOLKAN-NG(KROMBERŠKA C.);0;2.500;99;P; ; ; ;15.200;111;14.265;48;371;114;101;190;
G2;103;1010;NG(KROMBERŠKA C.)-ROŽNA DOLINA;2.500;5.192;222;O;QLD6; ;Panovec;24.585;86;22.940;148;791;278;149;193;
G2;103;1447;NG(R. DOLINA) - ŠEMPETER AC;0;2.315;227;O;QLD6; ;Šempeter RD;9.431;46;8.616;24;339;135;82;189;
G2;104;1136;KRANJ-LETALIŠČE BRNIK;0;6.000;200;O;QLD6;04x4;KR Primskovo 1;20.096;65;18.407;90;985;246;125;178;
G2;104;1136;LETALIŠČE BRNIK-SP.BRNIK;6.000;8.330;627;O;QLD6; ;Brnik;15.408;65;13.441;96;1.035;279;253;239;
G2;104;1137;SP.BRNIK-MOSTE;0;5.953;627;P; ; ; ;11.700;43;9.905;82;841;428;189;212;
G2;104;1138;MOSTE-MENGEŠ;0;3.900;115;O;;02x4;Topole;9.100;26;7.519;65;800;300;200;190;
G2;104;1139;MENGEŠ-TRZIN;0;4.158;116;O;QLD6; ;Loka;17.532;42;15.587;65;998;319;265;256;
G2;104;0295;TRZIN-LJ(ČRNUČE);0;3.687;73;O;QLD6; ;Trzin;33.524;80;30.222;184;1.802;482;382;372;
G2;104;0087;LJ(ČRNUČE - BRNČIČEVA);0;1.000;172;O;QLD6; ;S Vpadnica;36.044;86;32.520;64;2.072;536;406;360;
G2;104;0087;LJ(BRNČIČEVA - TOMAČEVO);1.000;2.870;172;P; ; ; ;37.700;72;33.468;128;2.260;724;534;514;
G2;105;0252;KARTELJEVO-NM(BUČNA VAS);0;2.933;63;O;QLD3; ;NM Bučna vas;10.104;64;8.940;50;626;204;100;120;
G2;105;0399;NOVO MESTO (BUČNA VAS-KRKA);0;2.096;118;O;QLD6; ;NM Obvoznica;10.005;17;8.856;17;525;260;188;142;
G2;105;0255;NOVO MESTO(KRKA-REVOZ);0;1.805;177;O;QLD6; ;NM Žabja vas;12.174;29;10.514;85;615;287;218;426;
G2;105;0256;NOVO MESTO(REVOZ)-METLIKA;0;26.301;607;O;QLD6; ;Gorjanci;3.904;22;3.314;32;252;81;81;122;
G2;105;0258;METLIKA-MP METLIKA;0;1.480;155;O;QLD6; ;MP Metlika;2.571;10;2.383;14;75;15;7;67;
G2;105;0259;MAČKOVEC-NM(KRKA);0;1.710;159;O;QLD6; ;NM Krka;17.039;31;15.032;169;759;320;250;478;
