Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Tip pr. odseka;Tip avt. števca;Leto roč. (avt.) štetja;Ime števnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tež. tov. nad 7t;Tov. s prik.;
R3;717;5614;CANKOVA-GERLINCI;0;5.200;489;P; ; ; ;100;1;92;1;2;3;1;0;
R3;717;5615;KOROVCI;0;420;524;P; ; ; ;80;0;80;0;0;0;0;0;
R3;717;5616;GERLINCI;0;355;524;P; ; ; ;50;0;50;0;0;0;0;0;
R3;718;5620;PERTOČA-FIKŠINCI;0;4.688;489;P; ; ; ;50;0;45;1;2;2;0;0;
R3;718;5619;FIKŠINCI;0;984;489;P; ; ; ;25;0;23;0;1;1;0;0;
R3;719;5621;ROGAŠOVCI-KRAMAROVCI;0;2.953;489;P; ; ; ;50;0;45;1;2;2;0;0;
R3;719;5622;KRAMAROVCI;0;630;524;P; ; ; ;50;0;50;0;0;0;0;0;
R3;720;5624;SOTINA;0;2.266;524;P; ; ; ;50;0;50;0;0;0;0;0;
R3;721;1317;PETROVCI-KUZMA;0;19.748;356;O;;01x1;Dolič;900;1;842;13;43;1;0;0;
R3;722;1446;MP MARTINJE-MARTINJE;0;310;524;O;;04x1;MP Martinje;56;0;54;0;2;0;0;0;
R3;723;5691;ŠALOVCI-ČEPINCI;0;6.638;358;P; ; ; ;150;1;140;2;3;2;2;0;
R3;723;5657;ČEPINCI-MEJA MADŽARSKA;0;2.524;524;P; ; ; ;100;0;100;0;0;0;0;0;
R3;724;5693;HODOŠ-DOMANJŠEVCI;0;5.055;358;P; ; ; ;100;0;95;1;2;1;1;0;
R3;724;5694;DOMANJŠEVCI;0;1.060;358;P; ; ; ;100;0;95;1;2;1;1;0;
R3;724;5661;DOMANJŠEVCI-BERKOVCI;0;3.770;358;P; ; ; ;100;0;95;1;2;1;1;0;
R3;724;4210;BERKOVCI-KOBILJE;0;12.943;358;P; ; ; ;320;1;301;4;6;4;3;1;
R3;725;5672;MARTJANCI-SEBEBORCI;0;3.167;492;O;;01x1;Martjanci;2.200;15;2.036;21;92;34;2;0;
R3;725;5677;SEBEBORCI-TRAKŠAROV BREG;0;3.973;492;P; ; ; ;1.000;7;927;9;41;15;1;0;
R3;725;5678;TRAKŠAROV BREG- FOKOVCI;0;440;492;P; ; ; ;500;3;463;5;21;8;0;0;
R3;725;5668;FOKOVCI-PROSENJAKOVCI;0;7.595;492;P; ; ; ;50;1;47;0;2;0;0;0;
R3;726;1321;RENKOVCI-ČRENŠOVCI;0;8.240;359;O;;02x4;Turnišče;2.450;11;2.226;29;114;35;20;15;
R3;726;1322;ČRENŠOVCI-RAZKRIŽJE;0;6.210;360;O;QLD6; ;Sr. Bistrica;2.112;12;1.799;15;109;46;41;90;
R3;726;1324;STROČJA VAS-PAVLOVCI;0;13.277;140;O;;00x4;Miklavž;900;2;847;12;27;5;6;1;
R3;727;1326;RAZKRIŽJE-MEJA R HRVAŠKA;0;475;431;P; ; ; ;450;2;438;0;10;0;0;0;
R3;728;1148;ŠKOFLJICA-IG;0;5.325;161;O;;04x4;Ig;322;1;238;0;34;15;23;11;
R3;728;4815;IG-RAKITNA;0;19.440;158;O;;04x4;Rakitna;39;1;35;1;1;1;0;0;
R3;729;4206;HOTIZA-VELIKA POLANA;0;3.317;359;P; ; ; ;260;1;242;4;5;4;2;2;
R3;729;4207;VELIKA POLANA-LIPA-BELTINCI;0;8.781;359;P; ; ; ;270;1;252;4;5;4;2;2;
R3;730;4104;ŽICE-SV.ANA-ZG.ŠČAVNICA;0;5.835;359;P; ; ; ;1.050;3;977;15;20;15;10;10;
R3;730;4105;ZG.ŠČAVNICA-DRAŽEN VRH;0;2.235;359;P; ; ; ;150;0;141;2;3;2;1;1;
R3;731;8209;POLZELA-PARIŽLJE-BRASLOVČE-M.B;0;3.919;326;P; ; ; ;300;1;267;2;12;11;5;2;
R3;732;8215;PONDOR-TABOR;0;2.388;326;P; ; ; ;500;2;443;3;21;19;8;4;
R3;732;8259;TABOR-OJSTRIŠKA VAS-KAPLA;0;1.645;326;P; ; ; ;300;1;267;2;12;11;5;2;
R3;733;5831;VAVTA VAS-DOL.TOPLICE-PODTURN;0;6.290;294;P; ; ; ;1.600;5;1.482;12;48;29;9;15;
R3;734;4123;CERKVENJAK-VITOMARCI;0;5.733;338;P; ; ; ;150;1;131;1;6;4;3;4;
R3;734;4121;VITOMARCI-GABRNIK;0;6.397;338;P; ; ; ;150;1;131;1;6;4;3;4;
R3;735;6314;MUTA-VUZENICA;0;445;484;P; ; ; ;720;4;664;3;28;11;8;2;
R3;737;9017;RAČE-ŠIKOLE;0;5.852;733;P; ; ; ;420;0;392;10;10;8;0;0;
R3;738;6727;TRŽIŠČE-HOTEMEŽ;0;14.480;284;P; ; ; ;620;1;600;1;7;10;1;0;
R3;739;6219;JANEŽOVSKI VRH-DESTRNIK;0;2.165;363;P; ; ; ;550;3;497;15;32;2;1;0;
R3;740;1398;M.SOBOTA(GAJ)-M.SOBOTA;0;2.772;623;P; ; ; ;7.300;24;6.596;80;350;100;70;80;
RT;901;1001;RATEČE-PLANICA;0;2.000;211;P; ; ; ;110;4;106;0;0;0;0;0;
RT;902;1019;STRMEC-MANGART;0;11.710;211;P; ; ; ;50;2;48;0;0;0;0;0;
RT;903;1021;IDRSKO-LIVEK;0;6.960;211;P; ; ; ;100;5;91;1;1;1;1;0;
RT;904;1093;JEZERO-ZLATOROG;0;4.200;240;O;;02x4;Bohinjsko jezero;1.350;29;1.175;50;75;12;8;1;
RT;904;1093;ZLATOROG-SAVICA;4.200;8.200;240;P; ; ; ;270;3;259;6;1;1;0;0;
RT;905;1095;GORJE-KRNICA;0;2.160;235;P; ; ; ;2.050;11;1.926;27;49;29;5;3;
RT;905;1096;KRNICA-ZATRNIK;0;4.000;236;O;;02x4;Krnica;1.350;19;1.232;8;70;12;5;4;
RT;905;1096;ZATRNIK-MRZLI STUDENEC;4.000;9.181;236;P; ; ; ;460;4;423;7;17;7;1;1;
RT;905;1097;MRZLI STUDENEC-JEREKA;0;16.392;239;P; ; ; ;130;1;122;3;2;2;0;0;
RT;906;1100;MRZLI STUD.-RUDNO POLJE;0;6.100;239;P; ; ; ;85;0;80;2;2;1;0;0;
RT;907;1101;KRNICA-ZG.RADOVNA;0;11.756;239;P; ; ; ;88;0;83;2;2;1;0;0;
RT;907;1102;ZG.RADOVNA-DOVJE;0;6.400;239;P; ; ; ;230;1;214;6;5;3;0;1;
RT;908;1383;KRAJE-MOJSTRANA;0;2.000;211;P; ; ; ;1.100;10;974;40;40;30;6;0;
RT;908;1383;MOJSTRANA-VRATA;2.000;11.600;211;P; ; ; ;200;0;188;4;4;4;0;0;
RT;909;1125;BOH.BISTRICA-VRESJE;0;8.260;253;O;;04x4;Nemški Rovt;613;19;552;0;33;1;0;8;
RT;909;1128;VRESJE-SORICA;0;9.342;236;P; ; ; ;150;2;139;2;5;2;0;0;
RT;909;1129;SORICA-PETROVO BRDO;0;4.250;236;P; ; ; ;100;3;90;2;3;2;0;0;
RT;910;1130;SORICA-PODROŠT;0;5.339;236;P; ; ; ;410;5;377;6;15;6;1;0;
RT;911;1123;RUDNO-ROVTARICA;0;11.510;253;P; ; ; ;170;3;156;2;7;2;0;0;
RT;911;1124;ROVTARICA-VRESJE;0;7.789;253;P; ; ; ;12;0;10;0;2;0;0;0;
RT;912;7302;ZALI LOG-DAVČA;0;7.856;211;P; ; ; ;410;15;384;3;3;3;2;0;
RT;912;7350;DAVČA-NOVAKI;0;3.065;211;P; ; ; ;515;10;484;4;10;4;3;0;
RT;912;3105;NOVAKI-CERKNO;0;10.153;211;P; ; ; ;720;15;674;6;15;6;4;0;
