Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlačilci;NOO;Tip
R1;202;0234;MP RATEČE - RATEČE;0;1.380;658;MT Rateče;QLD5;2.233;89;1.973;13;107;25;18;2;6;244.111;PLDP
R1;202;0233;RATEČE - PODKOREN;0;2.926;778;Rateče;R 10x4;3.000;90;2.685;55;110;30;20;3;7;454.131;PLDP
R1;203;1002;MP PREDEL - KLUŽE;0;12.500;657;MT Predel;QLD5;681;101;486;7;54;14;17;1;1;154.529;PLDP
R1;203;1002;KLUŽE - BOVEC;12.500;14.904;536;Kluže;R 07x1;850;105;638;8;60;15;20;2;2;188.122;PLDP
R1;203;1003;BOVEC(PO OBVOZNICI) - ŽAGA;0;9.904;535;Bovec;QLD;1.502;10;1.279;18;117;34;37;3;4;371.516;PLDP
R1;203;1004;ŽAGA - KOBARID;0;13.395;96;Srpenica;QLD6;2.084;127;1.644;18;213;29;32;8;13;423.772;PLDP
R1;204;1012;ŠEMPETER - VOLČJA DRAGA;0;2.800;262;Volčja Draga;QLD6;9.492;96;8.833;26;421;68;36;6;6;499.171;PLDP
R1;204;1012;VOLČJA DRAGA - DORNBERK;2.800;8.343;203;Prvačina;QLD6;5.918;92;5.361;24;328;53;45;8;7;524.303;PLDP
R1;204;1013;DORNBERK - ŠTANJEL;0;13.078;204;Branik;QLD;2.353;80;2.058;11;157;26;16;3;2;209.025;PLDP
R1;204;1014;ŠTANJEL - DUTOVLJE;0;7.820;24;Kopriva;R 11x4;1.667;44;1.448;12;113;33;11;4;2;208.527;PLDP
R1;204;1015;DUTOVLJE - SEŽANA;0;7.890;205;Tomaj;QLD5;3.457;82;3.080;14;146;75;44;5;11;527.040;PLDP
R1;205;1026;DIVAČA - LOKEV - LIPICA;0;8.710;418;MT Lipica;QLD5;5.672;233;5.035;5;337;39;18;1;4;219.476;PLDP
